trait,abbreviation,type,anatomicalDefinition,codeDefinition
standard length, SL,distance,length from the tip of the snout to the posterior-most part of trunk that meets the caudal fin,
head length,HL,distance,length from the anterior-most (left-most) part of the head (landmark #1) to the posterior-most (right-most) part of the head (landmark #12),
eye diameter,ED,distance,length across the eye along the anterior-posterior (left-right) axis (landmarks #14 & #15),
head depth,HD,distance,length from the dorsal-most (top) part of the head to the ventral-most (bottom) part of the head through the midline of the eye (landmark #18),
snout length or preorbital depth,pOD,distance,length from the anterior-most (left-most) part of the eye (landmark #14) to the anterior-most (left-most)part of the head (landmark #1),
