"original_file_name","id.x","file_name","catalog_id","dataset","path","scientific_name.x","genus.x","family.x","institution","width","height","size","id.y","image_metadata_id","user_id","fish_number","has_ruler","has_label","labelname_matched_imagefilename","barcode_visible","label_detailed","has_colorbar","has_label_attached_fish","non_specimen_objects","if_overlapping","specimen_angled","specimen_viewing","straight_curved","if_missing_parts","if_parts_visible","fins_folded_oddly","brightness","if_background_uniform","if_focus","color_issues","image_quality","scientific_name.y","genus.y","family.y"
"INHS_FISH_107862.jpg",144313,"INHS_144313.JPG",107862,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107862.jpg","Notropis dorsalis","Notropis ","Cyprinidae","INHS",6016,4016,10990499,"4240267e-5a02-5d35-96eb-7e36e1720b4f","c2157d79-83fe-4da1-957f-e620e8c1de16",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",5,"Notropis dorsalis","Notropis ","Cyprinidae"
"INHS_FISH_107863.jpg",144314,"INHS_144314.JPG",107863,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107863.jpg","Notropis stramineus","Notropis ","Cyprinidae","INHS",6016,4016,11141080,"54429dcc-5646-58d9-9abb-3b0469dd826b","7d13096c-e1be-4d7e-af6e-a5f66d5edd9d",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis stramineus","Notropis ","Cyprinidae"
"INHS_FISH_107870.jpg",144319,"INHS_144319.JPG",107870,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107870.jpg","Notropis atherinoides","Notropis ","Cyprinidae","INHS",6016,4016,9593816,"bf4cf799-a742-5043-bfca-7684d05d4f12","1e76587a-613e-4c4a-b39b-0c9f55925533",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis atherinoides","Notropis ","Cyprinidae"
"INHS_FISH_107883.jpg",144321,"INHS_144321.JPG",107883,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107883.jpg","Notropis hudsonius","Notropis ","Cyprinidae","INHS",6016,4016,10453486,"7d114644-e69b-5616-a16d-24a7d4b52335","98575db6-abe7-40dd-a0a2-64b877381440",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis hudsonius","Notropis ","Cyprinidae"
"INHS_FISH_107886.jpg",144322,"INHS_144322.JPG",107886,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107886.jpg","Notropis wickliffi","Notropis ","Cyprinidae","INHS",6016,4016,10023732,"c8402627-ac4c-5d9f-8c52-deb4244b12ec","24b348f8-5cb4-4884-a3d4-d73282d56c9e",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis wickliffi","Notropis ","Cyprinidae"
"INHS_FISH_107908.jpg",144327,"INHS_144327.JPG",107908,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107908.jpg","Notropis blennius","Notropis ","Cyprinidae","INHS",6016,4016,10008053,"1fa787f0-5536-5a39-88a2-6ee430d973c5","e779a009-1734-4b5a-b818-439c574fb228",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",6,"Notropis blennius","Notropis ","Cyprinidae"
"INHS_FISH_107909.jpg",144328,"INHS_144328.JPG",107909,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107909.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10484042,"b80355e2-47fd-533a-8c0d-069381c38535","3c164f56-fd77-4e85-9390-07aafa3d7bb7",15,1,"True","True","True","False","detailed","False","False","no","False",10,"left","straight","False","True","False","normal","False","True","none",7,"Notropis volucellus","Notropis ","Cyprinidae"
"INHS_FISH_107929.jpg",144335,"INHS_144335.JPG",107929,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107929.jpg","Notropis chalybaeus","Notropis ","Cyprinidae","INHS",6016,4016,10201707,"6cacbdf4-5c00-5a6e-b730-26056a8e6a0e","ca4f96a4-3f6f-4460-b352-185a981f1444",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",7,"Notropis chalybaeus","Notropis ","Cyprinidae"
"INHS_FISH_108005.jpg",144353,"INHS_144353.JPG",108005,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108005.jpg","Notropis hudsonius","Notropis ","Cyprinidae","INHS",6016,4016,10457212,"08650b7d-42fe-591e-b26f-e452e735a93b","8f28c592-d171-4b66-8fb6-6e1df1effe9c",22,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis hudsonius","Notropis ","Cyprinidae"
"INHS_FISH_108007.jpg",144355,"INHS_144355.JPG",108007,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108007.jpg","Notropis wickliffi","Notropis ","Cyprinidae","INHS",6016,4016,10632195,"33aa946e-b3f1-5f3b-a9c8-29df4d6c9239","51d744d7-6298-42d6-9b38-a67a49fdda3c",14,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",6,"Notropis wickliffi","Notropis ","Cyprinidae"
