"dorsal_fin_number","dorsal_fin_percentage","adipos_fin_number","adipos_fin_percentage","caudal_fin_number","caudal_fin_percentage","anal_fin_number","anal_fin_percentage","pelvic_fin_number","pelvic_fin_percentage","pectoral_fin_number","pectoral_fin_percentage","head_number","head_percentage","eye_number","eye_percentage","caudal_fin_ray_number","caudal_fin_ray_percentage","alt_fin_ray_number","alt_fin_ray_percentage","trunk_number","trunk_percentage","file_name"
1,1,0,0,1,1,1,1,2,0.996478769048676,3,0.599437647237632,1,1,1,1,0,0,0,0,2,0.998248226061382,"INHS_FISH_109198"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.990477844346039,"INHS_FISH_109201"
1,1,8,0.33,1,1,3,0.988744588744589,4,0.535968308274061,3,0.974513749161636,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_109204"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_109205"
1,1,1,1,1,1,1,1,2,0.542607428987618,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_109206"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_109207"
1,1,2,0.986277873070326,3,0.986536327925875,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_109244"
1,1,4,0.466009852216749,1,1,1,1,2,0.87972824091076,2,0.978903965095651,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_109884"
1,1,0,0,1,1,1,1,1,1,2,0.952167414050822,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_109975"
1,1,0,0,1,1,3,0.697214076246334,2,0.702836368400367,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_11806"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_11858"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_11869"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.980960080914019,"INHS_FISH_11891"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_12657"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_1420"
1,1,0,0,1,1,1,1,2,0.578124693945508,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_1475"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.984126984126984,"INHS_FISH_17758"
1,1,0,0,1,1,1,1,1,1,2,0.992264182332391,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_17803"
1,1,5,0.290909090909091,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_22941"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_26980"
2,0.999850990910445,1,1,1,1,1,1,2,0.955152273675428,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_27043"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_27108"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_27141"
1,1,3,0.989316239316239,1,1,0,0,3,0.948931829092655,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_27168"
1,1,0,0,1,1,1,1,2,0.866057176026702,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_28477"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_28516"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_29673"
2,0.993844432008954,2,0.949873417721519,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_30800"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_33014"
1,1,2,0.998051315362131,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_33196"
1,1,2,0.952725250278087,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_33330"
