"Selection_Criteria","All_Minnows_Images_sp","Burress_et_al._2017_Overlap_Images_sp"
"Metadata files","42423 (267)","7491 (27)"
"Image Quality Metadata Selection","15860 (159)","1791 (22)"
"Only INHS or UWZM (none from UWZM)","11406 (111)","1021 (18)"
"No empty URLs","11378 (111)","1021 (18)"
"At least 10 samples","11193 (54)","989 (10)"
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
