"X","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","SL_bbox.conv","SL_lm.conv","HL_bbox.conv","HL_lm.conv","pOD_bbox.conv","pOD_lm.conv","ED_bbox.conv","ED_lm.conv","HH_lm.conv","EA_m.conv","HA_m.conv","SL_bbox.diff","SL_lm.diff","HL_bbox.diff","HL_lm.diff","pOD_bbox.diff","pOD_lm.diff","ED_bbox.diff","ED_lm.diff","HH_lm.diff","EA_m.diff","HA_m.diff"
"INHS_FISH_50068",5.55,5.56,1.37,1.37,0.39,0.4,0.44,0.44,281,0.15,0.79,55.55,55.58,13.73,13.73,3.95,3.96,4.41,4.39,7.16,5749.87,30948.04,-0.00499999999999989,0.00199999999999978,-0.00299999999999989,-0.00299999999999989,-0.005,0.004,-0.001,0.00100000000000006,280.284,-574.837,-3094.014
"INHS_FISH_50071",3.2,3.2,0.74,0.73,0.19,0.22,0.24,0.24,164,0.04,0.27,32.01,31.99,7.35,7.33,1.94,2.19,2.42,2.41,4.19,1556.05,10681.79,-0.000999999999999446,0.00100000000000033,0.005,-0.003,-0.004,0.001,-0.002,-0.00100000000000003,163.581,-155.565,-1067.909
"INHS_FISH_50103",4.52,4.52,1.07,1.07,0.3,0.32,0.3,0.3,226,0.06,0.5,45.15,45.16,10.75,10.74,3.02,3.19,3.02,3,5.73,2348.13,19741.86,0.00499999999999989,0.00399999999999956,-0.00499999999999989,-0.004,-0.002,0.001,-0.002,0,225.427,-234.753,-1973.686
"INHS_FISH_50104",3.65,3.74,1,1,0.3,0.3,0.29,0.29,213,0.06,0.44,36.52,37.38,9.97,10.03,3.03,3.04,2.88,2.85,5.38,2459.44,17540.66,-0.00200000000000022,0.00199999999999978,0.00299999999999989,-0.00299999999999989,-0.003,-0.004,0.002,0.00499999999999995,212.462,-245.884,-1753.626
"INHS_FISH_50378",2.61,2.66,0.66,0.66,0.15,0.15,0.23,0.23,148,0.04,0.23,26.07,26.55,6.63,6.63,1.46,1.47,2.34,2.32,3.73,1398.18,8938.66,0.00299999999999967,0.00499999999999989,-0.003,-0.003,0.004,0.003,-0.00399999999999998,-0.00199999999999997,147.627,-139.778,-893.636
"INHS_FISH_51451",4.64,4.65,1.22,1.22,0.38,0.39,0.35,0.34,271,0.09,0.68,46.4,46.47,12.2,12.23,3.85,3.87,3.46,3.44,6.9,3663.1,26524.91,0,0.00300000000000011,0,-0.00300000000000011,-0.005,0.003,0.004,-0.00399999999999995,270.31,-366.22,-2651.811
"INHS_FISH_51491",5.56,5.56,1.32,1.32,0.38,0.39,0.37,0.37,279,0.09,0.75,55.57,55.62,13.18,13.17,3.83,3.93,3.68,3.66,7.09,3637.25,29541.93,0.00299999999999923,-0.00199999999999978,0.002,0.00300000000000011,-0.003,-0.003,0.002,0.004,278.291,-363.635,-2953.443
"INHS_FISH_51678",5.06,5.1,1.13,1.14,0.31,0.32,0.32,0.32,229,0.07,0.56,50.55,50.97,11.26,11.44,3.14,3.16,3.22,3.2,5.85,2742.28,22006.37,0.00499999999999989,0.00300000000000011,0.004,-0.004,-0.004,0.004,-0.002,0,228.415,-274.158,-2200.077
"INHS_FISH_51799",3.63,3.65,0.87,0.87,0.23,0.23,0.31,0.31,190,0.06,0.35,36.32,36.45,8.67,8.75,2.31,2.31,3.13,3.11,4.83,2359,13685.13,-0.00200000000000022,0.00499999999999945,0.003,-0.005,-0.001,-0.001,-0.003,-0.001,189.517,-235.84,-1368.163
"INHS_FISH_51878",4.84,4.85,1.22,1.22,0.32,0.32,0.37,0.37,252,0.1,0.65,48.44,48.48,12.15,12.21,3.2,3.21,3.74,3.71,6.41,4022.02,25431.27,-0.00399999999999956,0.00199999999999978,0.00499999999999989,-0.00100000000000011,0,-0.001,-0.004,-0.001,251.359,-402.102,-2542.477
