"base_name","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta"
"INHS_FISH_27043",1142,1141.09,285,284.7,67,67.19,85,84.05,147,5091,35563,0,-0.7,393.262,"cm",8.63
"INHS_FISH_27108",1492,1491.37,370,369.2,113,115.73,106,105.08,189,8262,56434,0,-1.27,394.322,"cm",11.23
"INHS_FISH_27141",1936,1935.03,450,449.25,133,133.18,120,120.07,234,10037,87804,0,0.33,395.15,"cm",-2.31
"INHS_FISH_27168",1638,1637.03,395,397.96,102,102.08,124,123.15,209,10351,69490,0,0.35,375.68,"cm",1.38
"INHS_FISH_28477",1990,1989.06,524,523.03,179,184.09,129,128.32,261,11199,108053,0,0.46,395.697,"cm",2.17
"INHS_FISH_28516",2356,2355.53,521,521.11,151,153.95,138,137.52,257,12092,113218,0.01,-1.22,392.026,"cm",3.63
"INHS_FISH_29673",2239,2238.01,514,516.85,154,154.01,161,160.7,273,17156,119310,0,-0.13,394.234,"cm",-1.39
"INHS_FISH_30800",3038,3037.19,687,686.16,208,212.4,194,194.14,339,24644,189582,0,-0.64,359.799,"cm",2.41
"INHS_FISH_33014",1902,1901.04,481,480.04,128,134.41,136,135,253,12960,99326,0.01,-0.36,393.781,"cm",-2.42
"INHS_FISH_33196",1081,1080,283,282,83,100.69,87,86.09,163,5102,36449,0,0,393.379,"cm",9.04
"INHS_FISH_33330",2399,2398.33,533,534.54,140,140.13,148,147.17,271,15404,126499,0,0.96,396.695,"cm",0.98
"INHS_FISH_33382",2450,2449.17,624,626.92,178,179.61,186,189.93,297,25515,148079,0,0.68,360.569,"cm",2.66
"INHS_FISH_33608",763,762.03,267,273.59,44,45.12,72,71.03,105,3530,22215,0,-0.53,392.858,"cm",17.75
"INHS_FISH_33711",1318,1317.06,267,266.32,52,56.86,98,97.02,160,6678,38944,0,-0.57,397.545,"cm",3.04
"INHS_FISH_35010",2248,2247.16,506,505.29,148,160.85,130,129.25,268,12018,113844,0,-0.69,391.462,"cm",5.62
"INHS_FISH_35020",1908,1907.25,421,420.01,125,125.78,129,128.14,222,11454,78206,0,-0.93,394.45,"cm",-0.71
"INHS_FISH_3504",1676,1675.06,381,388.96,92,93.38,120,119.51,209,10247,71506,0,0.48,395.626,"cm",5.7
"INHS_FISH_36043",2520,2519.4,597,596.48,179,184.82,157,156.32,313,18423,161085,0,-1.02,392.198,"cm",-2.28
"INHS_FISH_36527",1878,1877.22,482,482.42,122,137.77,140,139.09,266,13184,108786,0,-0.89,391.361,"cm",1.87
"INHS_FISH_36532",1475,1475.43,356,355.95,88,110,96,95.75,196,6234,62483,0,-2.52,393.367,"cm",-2.82
"INHS_FISH_37891",2386,2385.07,531,530.46,156,158.67,149,148.34,281,14906,126546,0,-0.43,392.024,"cm",10.62
"INHS_FISH_38217",3291,3290.22,794,793.73,273,273.01,223,229.45,413,33345,263351,0,0.66,334.936,"cm",1.76
"INHS_FISH_38220",2338,2337,534,535.16,154,154.05,162,161.05,280,16998,125214,0,0.05,396.71,"cm",-1.12
"INHS_FISH_38302",2306,2305.59,469,468.61,118,123.97,151,150.12,264,15481,108862,0,-1.29,374.485,"cm",2.61
"INHS_FISH_38304",1832,1831.03,451,450.05,139,140.43,134,133.3,246,12553,90852,0,-0.31,392.493,"cm",2.38
"INHS_FISH_38421",2082,2081.06,508,509.46,132,132.06,152,153.06,256,17679,106150,0,0.44,394.121,"cm",-0.36
"INHS_FISH_38522",3965,3964.83,883,882.73,256,267.04,250,250.15,437,46079,329280,0,-1.17,356.56,"cm",-0.08
"INHS_FISH_38536",1764,1763.35,449,451.61,157,198.83,129,130.23,260,11079,94459,0,-1.14,396.683,"cm",9.95
"INHS_FISH_38725",2142,2141.96,479,478.18,122,128.71,128,127.57,179,9402,102180,0,1.71,377.695,"cm",-0.33
"INHS_FISH_38783",1603,1602.03,407,407.77,102,102.96,134,133.02,208,12284,70901,0,0.36,394.51,"cm",1.94
"INHS_FISH_38815",1937,1936,481,480.5,145,147.31,123,122.15,233,10273,94388,0,-0.06,394.529,"cm",-0.36
"INHS_FISH_39009",1214,1213,294,293.02,79,79.76,93,92.05,156,5637,36215,0,0.14,392.946,"cm",14.78
"INHS_FISH_39053",1863,1862,418,419.01,123,124.31,122,121.2,219,10152,79392,0,-0.03,392.854,"cm",2.39
"INHS_FISH_39054",1662,1661.46,407,406.54,110,113.76,129,128.02,211,11965,74474,0,-1.35,394.32,"cm",-0.41
"INHS_FISH_39078",1520,1519.5,341,340.01,76,87.82,118,118.09,187,9576,56124,0,-1.47,393.169,"cm",3.36
"INHS_FISH_39101",2915,2914.06,672,671.3,197,200.26,190,190.28,327,24556,186057,0,-0.35,357.064,"cm",0.65
"INHS_FISH_39104",2023,2022,405,404.01,107,120.77,119,119.08,234,8438,77936,0,0.09,392.223,"cm",5.41
"INHS_FISH_39175",1936,1935.13,482,483.49,150,151.2,129,128.56,243,10860,96269,0,-0.65,393.792,"cm",-5.1
"INHS_FISH_39401",1503,1502.23,384,383.05,92,102.42,121,120.2,199,8950,65554,0,-0.99,392.953,"cm",0.48
"INHS_FISH_39448",1408,1407.08,328,327.18,76,82.86,113,112.02,173,8815,47805,0,-0.61,392.578,"cm",-2.08
"INHS_FISH_39488",2232,2231.05,557,556.52,177,177.1,164,163.11,282,19750,126038,0,-0.39,393.874,"cm",3.14
"INHS_FISH_39556",2545,2544,539,542.16,143,145.17,154,153.21,268,15378,126338,0,-0.07,367.532,"cm",2.45
"INHS_FISH_39569",3225,3224.3,711,710.05,208,216.48,212,212.98,348,27519,213568,0,-0.78,361.421,"cm",1.6
"INHS_FISH_39584",1517,1516.01,339,343.46,87,87.01,105,104.12,180,7372,51981,0,0.19,391.081,"cm",-2.77
"INHS_FISH_39603",2165,2164.19,531,530.03,146,149.68,152,151.74,263,15739,114820,0,-0.77,399.662,"cm",6.56
"INHS_FISH_40063",1674,1673,378,377,87,94.54,140,139.36,217,13798,72522,-0.01,0.07,392.922,"cm",-0.59
"INHS_FISH_40481",1669,1668.05,359,358.01,83,95.38,115,114.28,213,9537,69388,0,-0.45,394.299,"cm",0.78
"INHS_FISH_40608",2110,2109.2,536,535.06,140,146.16,153,152.01,288,16638,127389,0,-0.79,393.189,"cm",2.2
"INHS_FISH_40755",1580,1579.15,382,381,108,110.86,129,128.1,211,10936,65215,0.01,-0.8,393.691,"cm",16.33
"INHS_FISH_40851",1795,1797.81,493,496.15,131,160.65,127,126.57,260,10566,110343,0,-3.73,393.941,"cm",-2.81
"INHS_FISH_41403",2480,2479,571,570.06,158,163.23,183,182.62,295,21699,140732,0,0.07,393.775,"cm",1.59
"INHS_FISH_41657",2528,2527.46,597,597.7,166,175.19,171,170.75,304,19856,158791,0,-1.09,392.009,"cm",1.13
"INHS_FISH_41686",1971,1970,431,430.26,131,132.23,139,138.13,228,13474,79629,0,-0.12,396.2,"cm",10.5
"INHS_FISH_41708",1670,1669.03,397,396.25,115,119.37,119,119.85,208,9847,68082,0,-0.34,395.378,"cm",2.6
"INHS_FISH_41709",1720,1719,406,405,106,116.36,120,119.51,220,10034,75727,0,-0.07,395.149,"cm",0.92
"INHS_FISH_4171",1346,1345,305,304,82,85.44,92,91.02,170,5906,43052,0,-0.09,397.605,"cm",3.31
"INHS_FISH_41757",1337,1336.22,351,350.57,94,94.64,112,111.11,171,8189,49727,0,-1.03,395.824,"cm",1.97
"INHS_FISH_41797",2240,2240.85,504,503.32,140,156.52,142,142.14,259,14320,116120,0,-2.33,375.716,"cm",4.91
"INHS_FISH_41816",1822,1821.06,437,436,126,134.13,141,140.23,232,13249,83070,0,-0.47,392.316,"cm",2.09
"INHS_FISH_4197",1400,1399.05,345,344.28,93,99.02,109,108.07,188,8150,53364,0,-0.49,393.56,"cm",-0.89
"INHS_FISH_42535",1234,1233.01,291,293.78,84,85,60,59.54,158,3453,39043,0,0.19,392.231,"cm",0.15
"INHS_FISH_42877",1531,1530.06,410,409.15,123,128.44,125,124.58,209,10424,71172,0,0.49,394.015,"cm",5.72
"INHS_FISH_42931",1681,1680.34,410,410.25,110,127.26,120,119,203,9723,71899,0,-1.16,396.819,"cm",4.92
"INHS_FISH_42960",1199,1198.43,296,295.29,85,88.6,100,99.32,158,6620,36788,0,-1.53,392.45,"cm",7.41
"INHS_FISH_42961",1644,1643.16,395,395.14,117,125.36,125,124.02,216,10815,71494,0.01,-0.8,393.199,"cm",10.11
"INHS_FISH_42999",1716,1715.01,387,388.28,118,118.15,116,115.62,205,9326,66229,0,0.2,394.175,"cm",5.26
"INHS_FISH_43025",1133,1132.19,257,257.12,60,60.21,83,82.15,138,4964,29931,0,-1.06,392.421,"cm",-5.77
"INHS_FISH_43026",1578,1577.61,388,387.25,121,125.16,121,121.49,220,10479,71165,-0.01,-1.6,396.283,"cm",2.05
"INHS_FISH_44640",1967,1966.08,448,447.64,128,136.01,131,130.03,248,11471,92838,0,-0.52,395.654,"cm",13.12
"INHS_FISH_4498",1106,1105.8,293,292,70,74.33,104,103.04,157,6704,38075,0,-2.18,395.871,"cm",8.26
"INHS_FISH_45001",2193,2192.09,525,524.42,155,169.26,146,145.06,309,15479,137191,0,-0.52,397.056,"cm",-0.39
"INHS_FISH_45251",1678,1678.22,353,357.95,81,103.86,105,104.69,115,7714,58220,0,-2.19,395.248,"cm",-2.82
"INHS_FISH_45480",2160,2160.2,532,531.14,134,137.77,150,149,266,16138,109708,-0.01,-1.91,391.94,"cm",5.69
"INHS_FISH_45484",2049,2048.3,542,541.07,162,164.58,148,147.03,294,14847,131096,0,-0.98,391.838,"cm",0.3
"INHS_FISH_45487",1560,1559.46,387,391.27,115,138.96,95,94.05,127,5250,61233,0,-1.4,392.381,"cm",-1.94
"INHS_FISH_45623",2184,2183,512,511.47,153,156.73,166,167.89,264,17153,114928,0,0.1,394.01,"cm",1.92
"INHS_FISH_45637",1758,1757.01,437,437.74,115,119.64,126,125.2,210,10634,75703,0,-0.23,396.659,"cm",-2.66
"INHS_FISH_45640",2346,2345.79,539,540.05,144,156,165,164,277,17761,123233,0,-1.49,356.539,"cm",7.41
"INHS_FISH_45655",1657,1657.02,423,422.12,118,120.83,126,125.57,225,11325,74753,0,-2.01,392.036,"cm",3.68
"INHS_FISH_45686",1119,1118.99,296,295.11,72,78.79,97,96.33,156,6398,38816,0,-2.41,394.443,"cm",5.26
"INHS_FISH_46162",2366,2365.37,516,515.16,140,150.05,148,147.05,290,14607,128029,0,-1.02,338.877,"cm",-0.39
"INHS_FISH_46357",1711,1710.7,389,388.01,90,102.47,129,128.32,233,10692,79889,0,-1.64,395.714,"cm",8.29
"INHS_FISH_46468",1220,1219.02,291,290.04,71,71.85,101,100.24,164,6578,42137,0,0.33,393.073,"cm",-1.3
"INHS_FISH_46547",1698,1697.01,401,400.1,105,113.09,138,137.09,233,11872,76256,0,-0.2,392.463,"cm",6.62
"INHS_FISH_47012",2184,2183.15,453,452.16,119,131.1,141,140.51,257,13275,102791,0,-0.68,397.509,"cm",1.5
"INHS_FISH_47082",1314,1313,329,329.76,87,90.8,99,98,186,7222,54717,0,-0.09,391.759,"cm",-5.14
"INHS_FISH_47084",1399,1398.46,320,319.57,84,100.96,84,83.73,104,4706,45742,0,-1.48,393.04,"cm",-3.36
"INHS_FISH_47091",2087,2086.16,455,455.13,124,134.46,144,143.89,257,14489,97160,0,-0.71,363.701,"cm",1.15
"INHS_FISH_47856",1826,1825.05,427,429.8,112,114.76,138,137.01,222,13511,76548,-0.01,0.41,363.122,"cm",0.16
"INHS_FISH_48404",1609,1608,410,410.67,109,109.77,122,121.59,222,11083,76942,0,0.11,390.954,"cm",-2.08
"INHS_FISH_48405",1578,1579.57,395,396.34,104,122.64,104,104.74,215,6603,74324,0,-3.27,392.704,"cm",12.44
"INHS_FISH_48421",1948,1947,487,487.19,141,144.16,135,134.03,260,12273,105518,0,0.06,393.64,"cm",0.03
"INHS_FISH_48601",2164,2163.01,555,554.52,147,157.66,152,151.33,299,16235,142088,0,-0.19,391.058,"cm",-2.33
"INHS_FISH_48618",1837,1836,450,451.15,119,119.27,133,132.06,222,11637,82101,0,-0.12,394.542,"cm",-4.62
"INHS_FISH_48641",2085,2084.75,446,445.14,102,109.2,148,147,246,15599,93321,0,-1.54,392.061,"cm",0.62
"INHS_FISH_49726",1631,1630.14,392,391.33,107,107.17,114,113.64,204,8505,68341,0,-0.74,391.761,"cm",3.51
"INHS_FISH_49736",3353,3352.1,719,718.23,213,222.99,207,206.09,370,25961,217886,0,-0.44,329.983,"cm",-2.49
"INHS_FISH_49923",1121,1120.38,293,292.03,69,70.21,100,99.13,156,6523,39778,0,-1.48,394.993,"cm",11.23
"INHS_FISH_50050",2099,2098.05,475,474.21,134,137.54,136,135.83,248,12806,99897,0,-0.41,394.594,"cm",1.01
"INHS_FISH_50068",2183,2182.02,546,545.01,157,158.53,169,171.02,281,21820,121748,0,-0.24,392.461,"cm",3.67
"INHS_FISH_50071",1254,1253.52,288,287.14,76,85.88,95,94.34,164,6096,41848,0,-1.65,391.76,"cm",-1.1
"INHS_FISH_50103",1782,1781.34,424,423.93,119,121.4,120,119.27,225,9263,77870,0,-1.13,394.441,"cm",-2.09
"INHS_FISH_50104",1485,1484.65,404,403.55,114,126.57,120,119.21,214,10150,70737,-0.02,-1.7,396.228,"cm",14.61
"INHS_FISH_50378",1057,1056.52,266,265.54,56,59.14,92,91.27,148,5542,35451,0,-1.79,396.659,"cm",12.87
"INHS_FISH_51451",1826,1825.11,482,481.27,149,152.83,138,138.18,269,14382,104153,0,-0.63,392.646,"cm",4.59
"INHS_FISH_51491",2192,2191,520,519,148,157.54,146,145.12,277,14321,116325,0,0.1,393.759,"cm",3.31
"INHS_FISH_51678",1998,1997.4,451,450.81,118,123.97,126,125.04,226,10742,86190,0,-1.15,391.682,"cm",8.51
"INHS_FISH_51799",1437,1436.17,346,347.09,91,91.2,123,122.69,187,9284,53852,0,0.88,393.471,"cm",5.02
"INHS_FISH_51878",1908,1907,481,481.5,125,126.59,149,149.63,251,15818,100008,0,0.06,393.26,"cm",3.24
"INHS_FISH_52831",1126,1125.26,256,255.16,45,50.09,80,79.03,132,4710,30201,0,-1.22,393.462,"cm",1.68
"INHS_FISH_53960",1785,1784.09,463,462.62,123,128.74,156,155,256,16448,98502,0,0.58,394.614,"cm",5.15
"INHS_FISH_53966",1769,1768.01,412,411.03,115,123.13,120,120.21,210,9396,71341,0,-0.23,394.515,"cm",3.29
"INHS_FISH_54290",1614,1613.12,419,421.22,109,110.32,138,137,216,12506,78204,0,0.71,396.925,"cm",3.6
"INHS_FISH_54292",1510,1509.05,373,372.02,94,98.67,125,124.02,208,9953,63941,0.02,-0.46,392.705,"cm",6.56
"INHS_FISH_54294",1995,1994,521,520.14,157,163.32,162,161.2,297,17649,123713,0,0.11,394.574,"cm",1.2
"INHS_FISH_54317",1406,1405.63,300,299.67,60,61.19,91,92.65,173,6770,46297,0,-1.71,394.215,"cm",-1.81
"INHS_FISH_54318",2108,2107.01,514,516.27,150,150.21,140,140.16,265,14078,111740,0,-0.19,394.345,"cm",1.67
"INHS_FISH_54319",1976,1975.26,394,393.08,94,103.79,124,123.41,239,11851,83879,0,-0.93,392.429,"cm",1.24
"INHS_FISH_54320",1478,1477.28,345,344.84,87,90.52,115,114.16,194,8238,55803,0.01,-1.12,394.697,"cm",2.24
"INHS_FISH_5553",1757,1756.13,413,420.08,96,96.08,119,118.02,235,10647,85986,0,0.69,395.101,"cm",0.67
"INHS_FISH_5569",1259,1258.06,306,308.02,82,83.55,86,85.05,169,5232,45950,0,0.55,393.217,"cm",2.44
"INHS_FISH_55734",1911,1910.32,478,477.1,140,141.42,150,149.08,241,15121,92024,0,-1.05,391.373,"cm",0.27
"INHS_FISH_55761",2265,2264,490,489.01,139,140.73,147,146.09,250,14740,102260,-0.01,0.1,390.464,"cm",11.84
"INHS_FISH_55788",1573,1572.15,383,382.52,105,106.89,122,121.07,212,10088,68169,0,0.8,395.411,"cm",0.15
"INHS_FISH_55841",2018,2017.55,469,468.15,125,135,140,139.06,252,13501,103714,0,-1.33,392.625,"cm",-0.48
"INHS_FISH_5622",1501,1500.01,363,364.31,94,95.04,113,112.75,200,8543,61562,0,0.15,393.236,"cm",5.93
"INHS_FISH_56360",1466,1465.29,408,407.65,110,116.06,131,130.25,226,12074,73616,0,-1.13,395.198,"cm",-2.33
"INHS_FISH_5672",1458,1457.09,309,308.47,61,70.33,94,93.65,182,6185,49868,0,-0.63,396.007,"cm",4.66
"INHS_FISH_56846",1077,1076.09,255,254.28,56,61.74,83,82.1,145,5012,32767,0,-0.75,393.272,"cm",-2.17
"INHS_FISH_57044",1497,1496.36,394,393.79,113,135.07,111,110.65,214,8868,74471,0,-1.26,394.571,"cm",2.62
"INHS_FISH_57047",2065,2064.01,496,500.07,144,144.12,149,150.63,300,15367,127478,0,0.17,395.031,"cm",-4.79
"INHS_FISH_5716",2006,2005.44,469,468.52,98,106.23,137,137.77,261,13194,108223,0,-1.2,393.128,"cm",10.07
"INHS_FISH_57605",2042,2041.04,401,400,92,99.54,122,122.05,232,10203,85954,0,0.34,394.746,"cm",-0.94
"INHS_FISH_57626",1817,1816.25,417,416.17,101,106.57,131,130,236,11861,91334,0,-0.95,394.096,"cm",-0.41
"INHS_FISH_57656",1744,1743.02,443,442,124,128.06,136,135.01,239,12965,91122,0,0.3,392.753,"cm",-0.35
"INHS_FISH_57676",1721,1720.1,430,429.73,127,128.41,134,133.09,236,12421,82221,0,-0.63,394.783,"cm",9.88
"INHS_FISH_57695",2271,2270.08,504,506.57,129,130.54,165,164.2,274,18186,121647,0,-0.48,396.162,"cm",-0.89
"INHS_FISH_57772",1663,1662.72,371,370.14,86,91.76,121,120.07,201,11007,63608,0,-1.69,393.422,"cm",2.56
"INHS_FISH_57777",1046,1045.84,252,251.72,52,59.54,79,78.31,131,4534,29382,0,-2.3,392.5,"cm",12.43
"INHS_FISH_57784",1834,1834.15,467,466.31,115,119.92,148,147.76,227,15542,82269,0,-2.03,392.169,"cm",4.31
"INHS_FISH_57788",1854,1853.31,476,475.13,129,139.85,142,144.81,246,13988,95102,0,-1.05,393.652,"cm",1.85
"INHS_FISH_57790",1975,1975.96,438,444.63,104,138.19,122,121.33,150,10167,88470,0,-2.55,392.338,"cm",-0.23
"INHS_FISH_57800",2183,2182.67,508,507.57,115,137.84,146,146.37,280,15177,129233,0,-1.42,390.84,"cm",3.56
"INHS_FISH_57828",1811,1811.55,413,416.94,88,125.16,127,126,128,12565,81940,0,-2.37,392.146,"cm",2.47
"INHS_FISH_57837",1857,1856.04,459,458.13,121,125.42,131,130.06,238,11032,92517,0,-0.37,393.424,"cm",2.55
"INHS_FISH_57867",2455,2454.1,573,572.59,157,157,184,183,306,23176,146728,0,-0.51,394.644,"cm",8.12
"INHS_FISH_57888",2251,2250.45,451,450.87,129,138.35,111,110.37,238,9054,91665,0,1.15,392.021,"cm",1.38
"INHS_FISH_57898",2075,2074.12,467,466,130,133.65,117,116.04,231,10600,95733,0,-0.61,394.377,"cm",-0.09
"INHS_FISH_57905",2081,2080,493,492.33,152,152,123,122.02,240,10234,99629,0,0.06,394.284,"cm",6.63
"INHS_FISH_57916",1513,1513.27,331,331.55,78,82.22,97,96.02,180,6892,51775,0,-2.35,393.46,"cm",4.05
"INHS_FISH_57928",1811,1810.49,394,395.24,103,103.04,107,106.23,186,8836,64056,0,1.33,394.289,"cm",4
"INHS_FISH_57950",1802,1801.17,430,429.14,104,114.97,129,128.1,225,10516,82295,0,-0.8,395.251,"cm",6.33
"INHS_FISH_57998",2005,2004.05,507,506.04,134,146.41,146,145,259,14371,108969,0,-0.4,396.478,"cm",11.34
"INHS_FISH_58003",1822,1821.01,448,448.14,125,125.78,132,131.19,245,12534,92537,0,0.19,394.025,"cm",2.12
"INHS_FISH_58070",1926,1925.34,385,384.38,96,101.84,128,127.39,206,10944,68186,0,-1.07,394.95,"cm",-1.62
"INHS_FISH_58076",1649,1648.08,382,381.02,95,104.69,118,117.27,194,9484,65285,0,-0.56,393.211,"cm",0.46
"INHS_FISH_58116",1847,1846.73,424,424.45,115,117.09,133,132.09,226,12015,81006,0,1.61,395.11,"cm",6.24
"INHS_FISH_58554",1598,1597.5,329,330.19,70,84.31,90,89.45,111,5663,51976,0,-1.43,394.071,"cm",7.59
"INHS_FISH_58593",1150,1149.02,288,287.06,58,63.56,87,86.28,154,5251,38703,0,-0.35,395.305,"cm",-3.06
"INHS_FISH_58602",1807,1806.02,430,429.56,111,118.68,123,124.95,241,10313,87411,0,-0.29,394.248,"cm",4.16
"INHS_FISH_58662",3385,3384.01,816,817.75,223,240.1,199,198.25,202,25218,201958,0,0.15,356.057,"cm",-3.12
"INHS_FISH_59003",2362,2361,539,542.53,148,148.49,173,172.05,283,19008,129339,0,-0.05,394.813,"cm",-2.45
"INHS_FISH_59049",1888,1887.09,400,399.02,105,111,128,127.39,212,10422,72650,0,-0.55,397.682,"cm",5.06
"INHS_FISH_59090",2347,2346.1,575,576.35,174,175.51,161,160.08,292,16380,136262,0,-0.54,NA,"None",4.04
"INHS_FISH_59366",2413,2412.48,555,555.91,140,141.28,169,168.03,300,19015,141125,0,-1.14,394.55,"cm",4.46
"INHS_FISH_59447",1804,1803.64,451,450.32,124,125.94,136,135.72,244,13384,92941,0,-1.52,396.422,"cm",16.02
"INHS_FISH_59481",2225,2224,531,530.14,139,141.79,150,149.48,292,14754,135632,0,0,396.372,"cm",-1.63
"INHS_FISH_59517",1782,1781.11,411,410.24,112,112.22,123,122.26,226,10445,77636,0,-0.64,392.207,"cm",9.18
"INHS_FISH_59529",1076,1075.48,275,274.36,67,70.52,90,89.09,151,6200,36012,0,-1.71,395.727,"cm",9.82
"INHS_FISH_59596",2329,2329.34,479,480.02,108,133.81,139,141.01,269,14252,116126,0,-1.94,392.428,"cm",-2.75
"INHS_FISH_60532",2330,2329.01,616,615.33,168,171.02,179,179.23,321,21102,157579,0,0.2,378.883,"cm",-4.7
"INHS_FISH_60539",1540,1539.05,359,359.71,91,96.14,108,107.47,212,8159,70095,0,-0.48,391.892,"cm",-3.07
"INHS_FISH_60540",1831,1830.25,475,475.01,131,140.94,137,136.3,241,11112,95170,0,-0.94,392.683,"cm",10.92
"INHS_FISH_61084",994,993.2,240,239.13,47,48.05,71,70.01,129,3548,27570,0,-1.15,392.769,"cm",6.18
"INHS_FISH_61088",1602,1601.04,405,404.49,94,101.39,117,116.62,209,9882,72861,0,-0.43,392.993,"cm",5.6
"INHS_FISH_61757",1821,1820,409,410.16,121,122.64,118,117.07,227,9771,80571,0,0,395.362,"cm",-0.07
"INHS_FISH_6219",1401,1400.32,318,317.01,74,83.19,109,109.84,181,8426,49478,0,-1.23,394.967,"cm",2.59
"INHS_FISH_62293",1517,1516.13,376,380.94,76,77.1,122,121.81,186,10054,61786,0,0.76,392.885,"cm",-4.28
"INHS_FISH_62643",1628,1627,356,355.36,97,104.92,89,88.28,207,7115,66769,0,0,392.171,"cm",-0.76
"INHS_FISH_62644",1537,1536.22,349,349.66,87,94.94,96,95.02,188,6378,57542,0,-0.97,392.723,"cm",-0.88
"INHS_FISH_62645",1815,1814.16,419,418.94,115,118.36,126,125.78,227,11985,75848,0,-0.76,393.291,"cm",1.72
"INHS_FISH_62646",1294,1293.59,318,317.27,100,102.18,101,101.12,172,6953,44480,0.04,-1.73,392.629,"cm",7.48
"INHS_FISH_62659",1240,1239.06,330,329.34,88,99.3,86,85.09,170,4472,48334,0,-0.55,392.817,"cm",2.12
"INHS_FISH_62666",1535,1534.92,404,403.5,86,101.55,136,135.72,211,12013,72536,0,-1.98,397.199,"cm",-0.58
"INHS_FISH_62681",2020,2019.42,475,474.61,131,134.62,159,159.67,251,17479,95580,0,-1.16,393.953,"cm",3.99
"INHS_FISH_62697",2196,2195.1,564,563.26,152,169.94,162,165.2,297,16467,134790,0,-0.55,393.507,"cm",2.66
"INHS_FISH_62701",2465,2464.91,591,590.03,159,170.66,150,149.97,327,18038,167388,0,-1.56,391.662,"cm",-1.99
"INHS_FISH_62711",1583,1582.27,355,354.24,90,90.27,122,121.26,190,11191,55283,0,-1.05,393.3,"cm",-3.91
"INHS_FISH_62712",1703,1702.36,389,388.05,91,101.97,131,133.2,205,12488,68886,0,-1.18,393.662,"cm",2.1
"INHS_FISH_62865",1575,1574,402,401,113,120.55,130,129.06,210,11447,67603,0,-0.04,393.411,"cm",5.91
"INHS_FISH_62871",2180,2179.14,481,482.01,118,120.62,146,145.28,251,16019,106031,0,-0.66,393.616,"cm",-2.01
"INHS_FISH_62916",2234,2233.14,551,550.03,148,166.37,158,157.08,308,16319,146177,0,-0.64,393.828,"cm",-0.96
"INHS_FISH_62951",2067,2066.06,497,496.02,138,146.11,144,143.01,264,14113,107621,0,0.44,399.048,"cm",-0.36
"INHS_FISH_62969",2290,2289.59,587,587.5,158,175.76,171,170,309,19079,145923,0,-1.3,392.735,"cm",6.33
"INHS_FISH_62986",2425,2424.01,575,574.35,154,170.86,169,169.07,312,18893,152372,0,-0.14,391.989,"cm",1.05
"INHS_FISH_63016",1960,1959.64,420,419.53,102,114.04,123,122.2,229,10002,82869,0,-1.46,392.789,"cm",2.2
"INHS_FISH_63069",2506,2505.26,559,558.81,155,166.94,161,160,284,15276,136604,0,-0.82,394.267,"cm",1.52
"INHS_FISH_63094",2160,2159.12,479,486.21,136,140.43,132,131.64,244,12162,101838,0,0.61,396.143,"cm",2.31
"INHS_FISH_63158",1870,1869.02,334,333.05,17,19.24,126,125.06,236,11865,73453,-0.05,0.25,393.716,"cm",17.8
"INHS_FISH_63771",2179,2178.53,494,494.46,121,126.24,153,152.21,263,15867,104729,-0.01,-1.26,393.677,"cm",-0.9
"INHS_FISH_63931",1025,1024.11,280,279.02,66,67.91,90,89.01,146,5655,34125,0,-0.84,392.944,"cm",5.19
"INHS_FISH_63944",1819,1818.32,480,479.27,148,149.09,147,146.12,242,14958,97641,0,-1.07,393.799,"cm",-0.19
"INHS_FISH_64052",1576,1575.13,391,390.74,109,115.77,125,125.03,216,10136,70906,0,-0.73,393.968,"cm",5.39
"INHS_FISH_64110",1404,1403,343,342.47,85,86.15,94,93.54,176,6306,54176,0,0,392.998,"cm",-2.82
"INHS_FISH_64170",1618,1617.14,414,415.67,136,138.28,106,105.3,208,8754,74871,0,0.74,395.5,"cm",1.19
"INHS_FISH_64217",1633,1632.03,386,385.01,90,96.57,121,120,221,9569,77424,0,0.35,391.983,"cm",-0.88
"INHS_FISH_64262",2356,2355.08,611,615.49,175,175.29,171,170.01,304,20099,147232,0,0.49,392.348,"cm",4.2
"INHS_FISH_64273",1101,1100.96,263,263.6,48,60,92,91.02,145,5759,33738,0,-2.39,392.194,"cm",5.52
"INHS_FISH_64277",1925,1924.27,446,445.25,123,123.07,126,125.4,216,11033,79491,0,0.95,394.614,"cm",-3.66
"INHS_FISH_64341",1806,1805.05,405,405.6,108,121.66,116,115.11,128,9085,69606,0,-0.44,393.507,"cm",3.88
"INHS_FISH_64466",2075,2074.07,543,549.26,148,148.57,152,151.4,252,16719,115590,-0.01,-0.47,394.512,"cm",-0.54
"INHS_FISH_64474",1439,1438.38,351,350.12,94,94.43,106,105.02,172,7265,50201,0,-1.31,394.367,"cm",7.32
"INHS_FISH_64591",1831,1830.16,455,454.44,125,130.08,132,131.46,233,12245,89091,0,-0.75,393.003,"cm",0.29
"INHS_FISH_64599",1496,1496.2,339,338.09,80,94.34,98,98.01,180,6149,55389,0,-2.3,396.105,"cm",0.67
"INHS_FISH_64823",1652,1651.37,426,425.99,127,136.86,128,127.02,244,11499,84451,0,-1.21,393.577,"cm",6.45
