"base_name","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta"
"INHS_FISH_82543",1442,1441.38,355,354,80,88.57,109,108.46,180,7818,54184,0,-1.31,394.444,"cm",1.39
"INHS_FISH_82778",1845,1844.02,419,420.52,116,116.62,130,129.02,222,11646,78263,0,0.25,395.146,"cm",4.49
"INHS_FISH_82900",1508,1507.02,337,336,84,87.09,111,110.04,180,8208,51810,-0.01,0.3,374.921,"cm",-1.73
"INHS_FISH_83027",2263,2262,536,535.16,144,150,152,151,269,14609,122486,0,-0.05,394.022,"cm",1.53
"INHS_FISH_83101",1774,1773.11,404,406.87,109,126.4,111,110.02,239,7533,75123,0,-0.65,375.256,"cm",-5.17
"INHS_FISH_83216",1856,1855.06,403,402.01,93,97.12,117,116,213,9936,76768,0,-0.46,394.2,"cm",5.42
"INHS_FISH_83228",1532,1531.31,358,357.14,88,95.46,117,117.89,184,9594,56285,-0.01,-1.16,394.781,"cm",7.16
"INHS_FISH_83350",1686,1685.07,409,410.26,108,111.83,132,132.23,220,12180,76250,0,0.51,393.489,"cm",2.55
"INHS_FISH_83392",1385,1384.13,339,342.77,87,87.57,108,107.56,166,7594,44995,0,-0.79,392.604,"cm",0.2
"INHS_FISH_84159",2975,2978.19,721,731.29,176,197.68,195,194.37,360,27221,222227,0,-3.04,344.793,"cm",-0.89
"INHS_FISH_85573",1621,1620.32,401,403.76,115,116.25,120,119.15,275,10218,83796,0,1.13,392.286,"cm",-7.76
"INHS_FISH_85684",1526,1525.05,372,371.44,114,114,105,104.69,197,7710,61052,0,0.45,392.242,"cm",-2.22
"INHS_FISH_85989",1517,1516.01,348,347.76,84,92.61,87,88.07,195,5266,56334,0,-0.15,391.092,"cm",5.17
"INHS_FISH_86754",1936,1935.32,486,485.99,146,153.38,134,133.02,247,12170,99008,0,-1.04,392.864,"cm",11.65
