"Species","sample.size","crit.t","b.N","b.SL","b.HL","b.SnL","b.ED","b.HD","min.SL_bbox","max.SL_bbox","avg.SL_bbox","med.SL_bbox","kurt.SL_bbox","sd.SL_bbox","se.err.SL_bbox","abs.se.diff.SL_bbox","SL_bbox.3se","SL_bbox.sig","SL_bbox.pvalue.crit.t","SL_bbox.pvalue","SL_bbox.per.diff","SL_bbox.pvalue.corr","SL_bbox.t.value.corr","SL_bbox.pvalue.sig.corr","SL_bbox.t.value.sig.corr","min.SL_lm","max.SL_lm","avg.SL_lm","med.SL_lm","kurt.SL_lm","sd.SL_lm","se.err.SL_lm","abs.se.diff.SL_lm","SL_lm.3se","SL_lm.sig","SL_lm.pvalue.crit.t","SL_lm.pvalue","SL_lm.per.diff","SL_lm.pvalue.corr","SL_lm.t.value.corr","SL_lm.pvalue.sig.corr","SL_lm.t.value.sig.corr","min.HL_bbox","max.HL_bbox","avg.HL_bbox","med.HL_bbox","kurt.HL_bbox","sd.HL_bbox","se.err.HL_bbox","abs.se.diff.HL_bbox","HL_bbox.3se","HL_bbox.sig","HL_bbox.pvalue.crit.t","HL_bbox.pvalue","HL_bbox.per.diff","HL_bbox.pvalue.corr","HL_bbox.t.value.corr","HL_bbox.pvalue.sig.corr","HL_bbox.t.value.sig.corr","min.HL_lm","max.HL_lm","avg.HL_lm","med.HL_lm","kurt.HL_lm","sd.HL_lm","se.err.HL_lm","abs.se.diff.HL_lm","HL_lm.3se","HL_lm.sig","HL_lm.pvalue.crit.t","HL_lm.pvalue","HL_lm.per.diff","HL_lm.pvalue.corr","HL_lm.t.value.corr","HL_lm.pvalue.sig.corr","HL_lm.t.value.sig.corr","min.pOD_bbox","max.pOD_bbox","avg.pOD_bbox","med.pOD_bbox","kurt.pOD_bbox","sd.pOD_bbox","se.err.pOD_bbox","abs.se.diff.pOD_bbox","pOD_bbox.3se","pOD_bbox.sig","pOD_bbox.pvalue.crit.t","pOD_bbox.pvalue","pOD_bbox.per.diff","pOD_bbox.pvalue.corr","pOD_bbox.t.value.corr","pOD_bbox.pvalue.sig.corr","pOD_bbox.t.value.sig.corr","min.pOD_lm","max.pOD_lm","avg.pOD_lm","med.pOD_lm","kurt.pOD_lm","sd.pOD_lm","se.err.pOD_lm","abs.se.diff.pOD_lm","pOD_lm.3se","pOD_lm.sig","pOD_lm.pvalue.crit.t","pOD_lm.pvalue","pOD_lm.per.diff","pOD_lm.pvalue.corr","pOD_lm.t.value.corr","pOD_lm.pvalue.sig.corr","pOD_lm.t.value.sig.corr","min.ED_bbox","max.ED_bbox","avg.ED_bbox","med.ED_bbox","kurt.ED_bbox","sd.ED_bbox","se.err.ED_bbox","abs.se.diff.ED_bbox","ED_bbox.3se","ED_bbox.sig","ED_bbox.pvalue.crit.t","ED_bbox.pvalue","ED_bbox.per.diff","ED_bbox.pvalue.corr","ED_bbox.t.value.corr","ED_bbox.pvalue.sig.corr","ED_bbox.t.value.sig.corr","min.ED_lm","max.ED_lm","avg.ED_lm","med.ED_lm","kurt.ED_lm","sd.ED_lm","se.err.ED_lm","abs.se.diff.ED_lm","ED_lm.3se","ED_lm.sig","ED_lm.pvalue.crit.t","ED_lm.pvalue","ED_lm.per.diff","ED_lm.pvalue.corr","ED_lm.t.value.corr","ED_lm.pvalue.sig.corr","ED_lm.t.value.sig.corr","min.HH_lm","max.HH_lm","avg.HH_lm","med.HH_lm","kurt.HH_lm","sd.HH_lm","se.err.HH_lm","abs.se.diff.HH_lm","HH_lm.3se","HH_lm.sig","HH_lm.pvalue.crit.t","HH_lm.pvalue","HH_lm.per.diff","HH_lm.pvalue.corr","HH_lm.t.value.corr","HH_lm.pvalue.sig.corr","HH_lm.t.value.sig.corr"
"Notropis ammophilus",15,2.1447866879178,5,41.3,11.2,3.9,3.3,5.2,26.65,45.57,38.2426666666667,39.14,2.37,5.64871093596541,1.45849089216892,2.09623066537411,FALSE,FALSE,0.0273566299137571,4.39428428901729e-13,7.99456104874137,4.39428428901729e-13,0.0273566299137571,TRUE,TRUE,26.65,45.64,38.238,39.12,2.37,5.65550452467076,1.46024498923004,2.09690841097461,FALSE,FALSE,0.0273223663132425,4.46663241647475e-13,8.00774099063758,4.46663241647475e-13,0.0273223663132425,TRUE,TRUE,6.42,12.51,9.65333333333333,9.05,2.04,1.89399301049648,0.489026892499075,3.16274358402405,TRUE,TRUE,0.00345712255442776,2.07386727034773e-11,16.0220994475138,2.07386727034773e-11,0.00345712255442776,TRUE,TRUE,6.41,12.59,9.666,9.05,2.01,1.91740077038832,0.495070750114615,3.09854702513703,TRUE,TRUE,0.00392751411320846,2.37095686978313e-11,15.8700600041382,2.37095686978313e-11,0.00392751411320846,TRUE,TRUE,1.32,3.81,2.61733333333333,2.45,2.05,0.71922047748802,0.18570192877083,6.90712624880474,TRUE,TRUE,3.62067479642292e-06,1.99209445281626e-09,49.0066225165563,1.99209445281626e-09,3.62067479642292e-06,TRUE,TRUE,1.52,4.12,2.95933333333333,2.8,2.08,0.774010581938245,0.199848672909009,4.70689473677392,TRUE,TRUE,0.000168385488607203,1.00338568978089e-09,31.7864383870241,1.00338568978089e-09,0.000168385488607203,TRUE,TRUE,2.01,3.24,2.55533333333333,2.44,2.03,0.413760915551596,0.106832609016191,6.97040607286683,TRUE,TRUE,3.27395715771228e-06,1.58894835525111e-12,29.1416644925646,1.58894835525111e-12,3.27395715771228e-06,TRUE,TRUE,2,3.21,2.542,2.43,2.01,0.410369171774461,0.105956864538628,7.1538545737512,TRUE,TRUE,2.45270731480396e-06,1.64551454206481e-12,29.8190401258851,1.64551454206481e-12,2.45270731480396e-06,TRUE,TRUE,2.65,6.6,4.84466666666667,4.84,2.09,1.21168045449678,0.312854548079404,1.1357780652853,FALSE,FALSE,0.137559734975211,5.11467559656703e-10,7.3345259391771,5.11467559656703e-10,0.137559734975211,TRUE,FALSE
"Notropis baileyi",16,2.13144954555978,5,51.8,13.2,4.1,4.3,6.8,32.01,62.94,47.15,48.74,2.37,8.43866182124473,2.10966545531118,2.20414094011608,FALSE,TRUE,0.021774973946918,9.26332851982006e-13,9.86214209968186,9.26332851982006e-13,0.021774973946918,TRUE,TRUE,32,62.93,47.134375,48.715,2.37,8.44075349618346,2.11018837404587,2.21099929152514,FALSE,TRUE,0.0214915360682351,9.37365811782738e-13,9.89856129417224,9.37365811782738e-13,0.0214915360682351,TRUE,TRUE,7.35,15.09,11.4525,11.74,1.91,2.28929537922334,0.572323844805835,3.05334124352769,TRUE,TRUE,0.00402421358198524,4.69203226130328e-12,15.2586771447282,4.69203226130328e-12,0.00402421358198524,TRUE,TRUE,7.33,15.06,11.46375,11.83,1.93,2.28058143171137,0.570145357927842,3.04527604383256,TRUE,TRUE,0.00409095911449975,4.37583732287108e-12,15.1455675498855,4.37583732287108e-12,0.00409095911449975,TRUE,TRUE,1.94,4.13,2.9475,2.865,1.85,0.697180034137524,0.174295008534381,6.61235229678227,TRUE,TRUE,4.12939428251491e-06,5.87420131546444e-11,39.1009329940628,5.87420131546444e-11,4.12939428251491e-06,TRUE,TRUE,2.19,4.36,3.241875,3.355,1.79,0.691502892257147,0.172875723064287,4.96382594842939,TRUE,TRUE,8.4940998148153e-05,1.26353525772798e-11,26.4700212068633,1.26353525772798e-11,8.4940998148153e-05,TRUE,TRUE,2.27,3.96,3.28125,3.335,1.95,0.554783741650745,0.138695935412686,7.34520443565081,TRUE,TRUE,1.21232463734522e-06,4.29242676070664e-13,31.047619047619,4.29242676070664e-13,1.21232463734522e-06,TRUE,TRUE,2.25,3.94,3.261875,3.305,1.93,0.556695233797931,0.139173808449483,7.45919804570713,TRUE,TRUE,1.00837578931312e-06,4.93137871444586e-13,31.8260203104043,4.93137871444586e-13,1.00837578931312e-06,TRUE,TRUE,3.26,8.35,6.0475,6.145,1.97,1.51929150154494,0.379822875386234,1.98118662346179,FALSE,FALSE,0.0331042032405163,1.22354942750185e-10,12.4431583298884,1.22354942750185e-10,0.0331042032405163,TRUE,TRUE
"Notropis leuciodus",69,1.99546893142984,5,65.2,15.1,4.8,4.8,7.2,27.19,64.25,49.7442028985507,49.72,2.93,8.09077059621515,0.974014320346619,15.8681415443143,TRUE,TRUE,0,5.97368221690459e-55,31.0705493320903,5.97368221690459e-55,0,TRUE,TRUE,27.18,64.24,49.7259420289855,49.69,2.92,8.09080075271412,0.974017950762473,15.8868303801806,TRUE,TRUE,0,6.11470886847168e-55,31.1186824012194,6.11470886847168e-55,0,TRUE,TRUE,6.72,17.42,11.316231884058,11.32,4.31,1.89160381799746,0.227722339329923,16.6157089685441,TRUE,TRUE,0,3.93673396330975e-54,33.4366435285981,3.93673396330975e-54,0,TRUE,TRUE,6.7,17.51,11.3276811594203,11.36,4.35,1.90031432765859,0.228770961466289,16.4895003124581,TRUE,TRUE,0,4.88157844799851e-54,33.3017745422909,4.88157844799851e-54,0,TRUE,TRUE,1.19,4.56,3.05275362318841,3.12,4.11,0.624772627012916,0.075213785687587,23.2304006617759,TRUE,TRUE,0,7.44825017752757e-48,57.2350930497531,7.44825017752757e-48,0,TRUE,TRUE,1.22,5.01,3.20652173913043,3.3,4.29,0.667690986307986,0.0803805489843655,19.8241773787774,TRUE,TRUE,0,2.21490303554847e-47,49.6949152542373,2.21490303554847e-47,0,TRUE,TRUE,2.27,4.38,3.42115942028986,3.42,3.13,0.434032176334631,0.0522513338147176,26.3886197546553,TRUE,TRUE,0,1.17777906053224e-61,40.3033127171058,1.17777906053224e-61,0,TRUE,TRUE,2.25,4.36,3.40594202898551,3.42,3.11,0.436207987495239,0.0525132706974408,26.5467747961551,TRUE,TRUE,0,2.27826958479465e-61,40.9301731841198,2.27826958479465e-61,0,TRUE,TRUE,1.06,7.98,6.04014492753623,6.16,7.94,1.08823317780491,0.131007879466281,8.85332300002836,TRUE,TRUE,3.10640402290119e-13,6.91147488716567e-52,19.2024377954267,6.91147488716567e-52,3.10640402290119e-13,TRUE,TRUE
"Notropis photogenis",32,2.03951344639641,5,80.7,19,6,6,8.8,33.78,111.2,69.733125,66.3,2.57,18.828060979345,3.32836239877218,3.294976233371,TRUE,TRUE,0.0012346687423066,1.18161971368407e-21,15.7269231803393,1.18161971368407e-21,0.0012346687423066,TRUE,TRUE,33.76,111.2,69.7175,66.29,2.56,18.8293931171796,3.32859788969625,3.29943728979598,TRUE,TRUE,0.00122028317672118,1.19212662417944e-21,15.7528597554416,1.19212662417944e-21,0.00122028317672118,TRUE,TRUE,8.87,25.54,16.5,15.615,2.6,4.14562108658623,0.732849195638766,3.4113430360266,TRUE,TRUE,0.000907833176558404,1.02404775751063e-22,15.1515151515152,1.02404775751063e-22,0.000907833176558404,TRUE,TRUE,8.86,25.79,16.5240625,15.62,2.63,4.16972487633835,0.737110183935271,3.35897882563704,TRUE,TRUE,0.00104303046882603,1.18869426446636e-22,14.9838303988502,1.18869426446636e-22,0.00104303046882603,TRUE,TRUE,2.37,8.15,4.7575,4.58,3.17,1.3169368172563,0.23280373846904,5.33711360552415,TRUE,TRUE,4.08398502638185e-06,3.27457060078542e-21,26.1166579085654,3.27457060078542e-21,4.08398502638185e-06,TRUE,TRUE,2.39,8.15,4.8915625,4.645,2.85,1.36150085442974,0.240681621689636,4.60540980328507,TRUE,TRUE,3.31687437460371e-05,3.12723164015856e-21,22.6601929342618,3.12723164015856e-21,3.31687437460371e-05,TRUE,TRUE,2.83,7.01,4.7965625,4.66,2.53,1.01455729857745,0.179350086431605,6.709991190659,TRUE,TRUE,8.28315862566598e-08,2.03893692813763e-25,25.0895823832171,2.03893692813763e-25,8.28315862566598e-08,TRUE,TRUE,2.81,7.02,4.8021875,4.655,2.56,1.0336709852004,0.182728940787745,6.55513294629863,TRUE,TRUE,1.27757538437301e-07,3.77600591234373e-25,24.943059803475,3.77600591234373e-25,1.27757538437301e-07,TRUE,TRUE,4.32,12.33,8.0565625,7.515,2.86,1.94146205195815,0.343205245588989,2.16616007346903,FALSE,TRUE,0.0190531810926281,2.30505182159419e-23,9.22772584461426,2.30505182159419e-23,0.0190531810926281,TRUE,TRUE
"Notropis rubellus",46,2.01410338888085,5,57,14.7,4.6,4.4,6.1,28.87,70.26,49.6502173913043,49.045,2.55,10.0900473491082,1.48769631884805,4.94037829870192,TRUE,TRUE,5.60814562122758e-06,4.51628467955315e-33,14.8031227149932,4.51628467955315e-33,5.60814562122758e-06,TRUE,TRUE,28.85,70.24,49.6291304347826,49.02,2.55,10.0898956774889,1.4876739560878,4.9546270102092,TRUE,TRUE,5.34888127046163e-06,4.60241189378787e-33,14.8519014954401,4.60241189378787e-33,5.34888127046163e-06,TRUE,TRUE,6.55,15.23,11.379347826087,11.35,2.52,2.10786084526355,0.310787126327973,10.6846516235964,TRUE,TRUE,3.13082892944294e-14,1.2532471080816e-34,29.1813926831598,1.2532471080816e-34,3.13082892944294e-14,TRUE,TRUE,6.55,15.23,11.3884782608696,11.355,2.52,2.11398934864478,0.311690724854803,10.6243833231581,TRUE,TRUE,3.77475828372553e-14,1.37396153861966e-34,29.0778246511539,1.37396153861966e-34,3.77475828372553e-14,TRUE,TRUE,0.43,4.52,3.22586956521739,3.345,4.84,0.801172962563034,0.118126508818708,11.6327016562516,TRUE,TRUE,1.77635683940025e-15,5.86979444973872e-29,42.5972100545859,5.86979444973872e-29,1.77635683940025e-15,TRUE,TRUE,0.49,4.89,3.30891304347826,3.425,4.58,0.833891088707684,0.122950533339198,10.5008650345572,TRUE,TRUE,5.50670620214078e-14,1.05393164066558e-28,39.0184613363117,1.05393164066558e-28,5.50670620214078e-14,TRUE,TRUE,2.12,4.19,3.16,3.12,2.89,0.461870592746978,0.0680991036850362,18.208756545976,TRUE,TRUE,0,2.66062335921718e-39,39.2405063291139,2.66062335921718e-39,0,TRUE,TRUE,2.09,4.17,3.14652173913043,3.095,2.87,0.463907162126717,0.0683993794582301,18.3258718251243,TRUE,TRUE,0,3.60758093103928e-39,39.8369490120216,3.60758093103928e-39,0,TRUE,TRUE,3.52,7.59,5.84152173913043,5.93,2.47,0.985190263386958,0.145258379618531,1.77943786477837,FALSE,FALSE,0.0409611385910057,1.55613981829638e-36,4.42484462803766,1.55613981829638e-36,0.0409611385910057,TRUE,TRUE
"Notropis stilbius",23,2.07387306790403,5,61.4,15.3,4.9,5.3,7.4,35.28,69.82,52.8639130434783,53.61,2.72,8.24625244863631,1.71946249749412,4.96439263372241,TRUE,TRUE,2.8715132503021e-05,6.10016542056547e-20,16.147285482823,6.10016542056547e-20,2.8715132503021e-05,TRUE,TRUE,35.26,69.8,52.8469565217391,53.58,2.72,8.2448895658201,1.71917831678227,4.97507640409829,TRUE,TRUE,2.79812673922297e-05,6.1362730392033e-20,16.1845526047323,6.1362730392033e-20,2.79812673922297e-05,TRUE,TRUE,8.63,15.57,12.4273913043478,12.24,2.56,1.85210744188467,0.38619109801533,7.43830893672786,TRUE,TRUE,9.67022562026187e-08,6.56020083835495e-20,23.1151383689606,6.56020083835495e-20,9.67022562026187e-08,TRUE,TRUE,8.73,15.69,12.4269565217391,12.24,2.54,1.85226994592289,0.38622498244964,7.43878207991242,TRUE,TRUE,9.6603922750127e-08,6.58949594923509e-20,23.1194458050521,6.58949594923509e-20,9.6603922750127e-08,TRUE,TRUE,2.22,4.46,3.34869565217391,3.39,2.32,0.598637121436731,0.124824468609194,12.4278866564454,TRUE,TRUE,1.0113132553613e-11,4.60974790020642e-18,46.3256297065697,4.60974790020642e-18,1.0113132553613e-11,TRUE,TRUE,2.23,4.47,3.44217391304348,3.46,2.51,0.617487258033712,0.128754993796609,11.3224819012411,TRUE,TRUE,6.01763083807327e-11,3.12847089338013e-18,42.3519009725906,3.12847089338013e-18,6.01763083807327e-11,TRUE,TRUE,2.75,4.68,3.87521739130435,3.83,3.07,0.472150491852462,0.0984501831553758,14.4721174001986,TRUE,TRUE,5.03930230877359e-13,1.49405859811259e-21,36.7665208122966,1.49405859811259e-21,5.03930230877359e-13,TRUE,TRUE,2.74,4.69,3.86434782608696,3.8,3.02,0.476071290373392,0.0992677261616033,14.4624263033472,TRUE,TRUE,5.10702591327572e-13,2.01311163840471e-21,37.1512151215121,2.01311163840471e-21,5.10702591327572e-13,TRUE,TRUE,4.23,8.56,6.52,6.43,2.86,1.02133157290773,0.212962354482846,4.1321857195699,TRUE,TRUE,0.000218440793900321,7.68254586350645e-20,13.4969325153374,7.68254586350645e-20,0.000218440793900321,TRUE,TRUE
"Notropis texanus",97,1.98498431152246,5,55.5,13.7,4.4,4.8,6.7,25.09,63.01,43.3057731958763,43.26,2.79,8.5819927555526,0.871369343355484,13.9943261684718,TRUE,TRUE,0,2.85927140397906e-69,28.1584322463613,2.85927140397906e-69,0,TRUE,TRUE,25.06,63,43.2847422680412,43.24,2.79,8.58258108671078,0.871429079334012,14.0175007027471,TRUE,TRUE,0,3.01443651824447e-69,28.2207010875002,3.01443651824447e-69,0,TRUE,TRUE,5.6,16.26,10.4114432989691,10.32,2.84,2.20970632932425,0.224361684755087,14.657389939912,TRUE,TRUE,0,1.65064048477643e-66,31.5859829093682,1.65064048477643e-66,0,TRUE,TRUE,5.59,16.24,10.4180412371134,10.4,2.84,2.2019818909977,0.223577386871819,14.6792965460689,TRUE,TRUE,0,1.13247110304624e-66,31.5026470733759,1.13247110304624e-66,0,TRUE,TRUE,1.09,4.43,2.60886597938144,2.51,2.47,0.725386213637058,0.0736518110257183,24.3189406434706,TRUE,TRUE,0,1.9526668692997e-55,68.6556547854264,1.9526668692997e-55,0,TRUE,TRUE,1.09,4.51,2.75103092783505,2.68,2.71,0.770517256642254,0.0782341741700989,21.0773500156046,TRUE,TRUE,0,3.10701272367992e-55,59.9400412216601,3.10701272367992e-55,0,TRUE,TRUE,1.81,4.72,3.07329896907217,3.08,2.72,0.618210996966052,0.0627698165012912,27.5084607088554,TRUE,TRUE,0,2.34425048942472e-68,56.1839589413304,2.34425048942472e-68,0,TRUE,TRUE,1.78,4.73,3.06278350515464,3.06,2.74,0.622755540367502,0.0632312449727858,27.4740200923301,TRUE,TRUE,0,6.30939416210431e-68,56.7201858022821,6.30939416210431e-68,0,TRUE,TRUE,2.82,8.47,5.54020618556701,5.52,2.86,1.20134298060324,0.121977898836569,9.50822915868496,TRUE,TRUE,8.88178419700125e-16,1.33360765757611e-65,20.9341272794939,1.33360765757611e-65,8.88178419700125e-16,TRUE,TRUE
"Notropis volucellus",130,1.97852449147925,5,46,11.1,3.4,3.9,5.3,19.42,57.43,39.4239230769231,39.5,2.81,7.68495020699285,0.674014720701829,9.75657759555974,TRUE,TRUE,0,4.42704708287595e-93,16.6804224689812,4.42704708287595e-93,0,TRUE,TRUE,19.4,57.41,39.4063846153846,39.48,2.81,7.68282197466108,0.673828062378476,9.78530837872982,TRUE,TRUE,0,4.52050992862945e-93,16.7323530158135,4.52050992862945e-93,0,TRUE,TRUE,5.38,13.6,9.45438461538462,9.625,2.63,1.70564589318527,0.149595040871624,11.0004674956276,TRUE,TRUE,0,3.19888985077231e-97,17.4058434426029,3.19888985077231e-97,0,TRUE,TRUE,5.35,13.58,9.46184615384615,9.67,2.65,1.70778326993741,0.149782501213699,10.9368840343816,TRUE,TRUE,0,3.38410736542146e-97,17.3132581054275,3.38410736542146e-97,0,TRUE,TRUE,1.09,3.98,2.45084615384615,2.405,2.66,0.625152427447284,0.0548294949781896,17.3110083638634,TRUE,TRUE,0,1.78713831558573e-78,38.7275980038291,1.78713831558573e-78,0,TRUE,TRUE,1.15,4.14,2.58523076923077,2.565,2.5,0.639879125436942,0.0561211118351639,14.5180521933053,TRUE,TRUE,0,3.37892172864985e-80,31.5163056415139,3.37892172864985e-80,0,TRUE,TRUE,1.53,4.21,3.01015384615385,3.05,3.07,0.511547257155116,0.0448656624142409,19.8335677211289,TRUE,TRUE,0,2.77745871441607e-100,29.5614842072984,2.77745871441607e-100,0,TRUE,TRUE,1.52,4.26,2.99684615384615,3.045,3.09,0.513438076420541,0.0450314982342211,20.0560470241584,TRUE,TRUE,0,8.87857869386927e-100,30.1368104930825,8.87857869386927e-100,0,TRUE,TRUE,2.67,7.59,5.07276923076923,5.17,2.79,1.0080259435758,0.0884097237482692,2.5702011000257,FALSE,TRUE,0.00564994140929287,3.31237776918277e-92,4.47942255785036,3.31237776918277e-92,0.00564994140929287,TRUE,TRUE
