"dorsal_fin.number","dorsal_fin.percentage","adipos_fin.number","adipos_fin.percentage","caudal_fin.number","caudal_fin.percentage","anal_fin.number","anal_fin.percentage","pelvic_fin.number","pelvic_fin.percentage","pectoral_fin.number","pectoral_fin.percentage","head.number","head.percentage","eye.number","eye.percentage","caudal_fin_ray.number","caudal_fin_ray.percentage","alt_fin_ray.number","alt_fin_ray.percentage","trunk.number","trunk.percentage","file.name"
1,1,2,0.926829268292683,2,0.999909999099991,0,0,2,0.660505836575875,1,1,1,1,1,1,0,0,0,0,2,0.98402228919088,"INHS_FISH_03912"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.991805173786832,"INHS_FISH_10"
1,1,0,0,1,1,1,1,2,0.976470588235294,1,1,1,1,1,1,0,0,0,0,2,0.995837669094693,"INHS_FISH_100022"
3,0.901311249137336,0,0,2,0.997799434140207,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100050"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100066"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999554105271692,"INHS_FISH_100109"
1,1,0,0,1,1,3,0.994949494949495,2,0.710055521283159,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100138"
1,1,0,0,2,0.999901477832512,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100143"
1,1,1,1,1,1,1,1,2,0.995365005793743,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100172"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100173"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100178"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100200"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.98623132440278,"INHS_FISH_100201"
1,1,0,0,1,1,1,1,2,0.528856526429342,2,0.976744186046512,1,1,1,1,0,0,0,0,2,0.999137373301704,"INHS_FISH_100202"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.992458172458172,"INHS_FISH_100205"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100220"
1,1,0,0,2,0.999664767013074,1,1,2,0.555008210180624,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100229"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.959483289778401,"INHS_FISH_100230"
1,1,0,0,2,0.999469917837265,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100278"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100280"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100295"
1,1,0,0,2,0.998803009575923,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,0.969673029384031,"INHS_FISH_100301"
1,1,0,0,1,1,1,1,2,0.570828331332533,1,1,1,1,1,1,0,0,0,0,2,0.978897665987871,"INHS_FISH_100305"
1,1,0,0,1,1,2,0.991710875331565,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100323"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100330"
1,1,0,0,1,1,1,1,1,1,3,0.99020618556701,1,1,1,1,0,0,0,0,4,0.931495482205421,"INHS_FISH_100350"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100361"
1,1,0,0,2,0.987038602423218,0,0,2,0.561330561330561,5,0.882926829268293,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100369"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100377"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100378"
1,1,0,0,1,1,1,1,3,0.941621621621622,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100382"
1,1,2,0.727941176470588,2,0.999613451874758,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100412"
1,1,0,0,1,1,1,1,2,0.991482112436116,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100413"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10043"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100486"
1,1,0,0,1,1,2,0.999369880277253,2,0.522113022113022,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10050"
1,1,0,0,1,1,4,0.805194805194805,2,0.573229873908826,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10051"
1,1,1,1,1,1,4,0.889312977099237,2,0.535961871750433,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100514"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.973659440092306,"INHS_FISH_100521"
1,1,0,0,1,1,1,1,2,0.842003853564547,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100532"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100545"
1,1,0,0,2,0.999139044339217,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100588"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.966194891817147,"INHS_FISH_10060"
2,0.996993987975952,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100607"
1,1,0,0,1,1,2,0.999095840867993,1,1,1,1,1,1,1,1,0,0,0,0,2,0.991278175666769,"INHS_FISH_100624"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100710"
1,1,2,0.923076923076923,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10072"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.981354851476441,"INHS_FISH_100732"
1,1,3,0.746835443037975,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.993631728045326,"INHS_FISH_10074"
5,0.984293193717278,0,0,1,1,1,1,1,1,2,0.98798228969007,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100741"
1,1,0,0,1,1,2,0.996881821016526,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100744"
2,0.997266514806378,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.978812323840995,"INHS_FISH_100746"
1,1,0,0,1,1,1,1,2,0.990610328638498,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100747"
1,1,0,0,1,1,0,0,2,0.775870524767043,2,0.998104522068779,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100749"
1,1,2,0.964285714285714,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100750"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100761"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,0.997615262321145,0,0,0,0,1,1,"INHS_FISH_100788"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100816"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100832"
1,1,0,0,1,1,4,0.609756097560976,2,0.521303901437372,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100833"
1,1,0,0,1,1,1,1,2,0.977573904179409,1,1,1,1,2,0.95916114790287,0,0,0,0,1,1,"INHS_FISH_100836"
1,1,0,0,1,1,1,1,2,0.893395133256083,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100842"
1,1,1,1,1,1,2,0.995444191343964,1,1,1,1,1,1,1,1,0,0,0,0,2,0.992916561633476,"INHS_FISH_100843"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.982160378199982,"INHS_FISH_100844"
1,1,3,0.529411764705882,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100861"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.989131136950904,"INHS_FISH_10087"
1,1,0,0,1,1,1,1,2,0.583884546001203,1,1,2,0.999856999857,1,1,0,0,0,0,2,0.966994589276931,"INHS_FISH_10094"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100945"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.96178027438695,"INHS_FISH_100947"
1,1,0,0,1,1,7,0.948464912280702,2,0.554190434401053,2,0.651443343386471,2,0.925203578968533,1,1,0,0,0,0,1,1,"INHS_FISH_100970"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100981"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100983"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.971079762762596,"INHS_FISH_100986"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100991"
1,1,0,0,1,1,4,0.997037914691943,3,0.831476323119777,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101007"
