,SL_bbox,SL_lm,HL_bbox,HL_lm,pOD_bbox,pOD_lm,ED_bbox,ED_lm,HH_lm,EA_m,HA_m,FA_pca,FA_lm,scale,unit,FA_pca_meta
INHS_FISH_58593,2.9,2.9,0.73,0.72,0.14,0.16,0.22,0.22,153,0.03,0.25,177.49,-2.75,395.305,cm,-3.06
INHS_FISH_94625,4.95,4.96,1.18,1.18,0.31,0.32,0.4,0.39,244,0.11,0.63,5.16,4.69,394.294,cm,4.62
INHS_FISH_7343,3.7,3.72,0.86,0.87,0.21,0.21,0.28,0.28,191,0.05,0.36,7.56,6.76,394.767,cm,7.31
INHS_FISH_76200,4.16,4.17,0.89,0.89,0.2,0.2,0.3,0.29,198,0.06,0.4,5.86,4.8,393.02,cm,6.07
INHS_FISH_5622,3.79,3.81,0.91,0.91,0.24,0.24,0.28,0.28,203,0.06,0.4,6.2,5.79,393.236,cm,5.93
INHS_FISH_62659,3.15,3.15,0.84,0.84,0.23,0.25,0.22,0.22,170,0.03,0.31,1.89,1.3,392.817,cm,2.12
INHS_FISH_99604,3.17,3.17,0.81,0.81,0.24,0.25,0.26,0.25,183,0.05,0.32,179.64,-2.01,396.262,cm,-0.43
INHS_FISH_39556,6.91,6.92,1.45,1.46,0.39,0.39,0.42,0.41,270,0.11,0.94,3.06,2.3,367.532,cm,2.45
INHS_FISH_50071,3.2,3.2,0.74,0.73,0.19,0.22,0.24,0.24,164,0.04,0.27,0.39,-1.33,391.76,cm,-1.1
INHS_FISH_63931,2.6,2.6,0.71,0.71,0.17,0.17,0.23,0.23,146,0.04,0.22,6.19,5.16,392.944,cm,5.19
INHS_FISH_51678,5.06,5.1,1.13,1.14,0.31,0.32,0.32,0.32,229,0.07,0.56,8.97,7.57,391.682,cm,8.51
INHS_FISH_75065,4.16,4.18,0.9,0.91,0.3,0.3,0.32,0.32,208,0.07,0.39,5.39,6.63,395.165,cm,5.59
INHS_FISH_92166,4.2,4.2,1.01,1.01,0.24,0.24,0.28,0.27,213,0.06,0.5,0.4,0.07,393.508,cm,0.01
INHS_FISH_104263,4.04,4.04,1.09,1.09,0.3,0.31,0.31,0.31,215,0.06,0.47,179.6,-1.29,394.607,cm,-0.15
INHS_FISH_67962,3.54,3.54,0.73,0.77,0.19,0.19,0.23,0.23,177,0.05,0.26,1.54,1.48,394.768,cm,1.43
INHS_FISH_58116,4.63,4.67,1.06,1.07,0.28,0.29,0.33,0.33,229,0.08,0.52,6.47,7.54,395.11,cm,6.24
INHS_FISH_45640,6.54,6.57,1.51,1.51,0.42,0.44,0.46,0.45,277,0.14,0.97,8.05,6.32,356.539,cm,7.41
INHS_FISH_87444,4.85,4.84,1.18,1.18,0.3,0.34,0.38,0.38,246,0.09,0.63,179.16,-1.44,394.009,cm,-0.53
INHS_FISH_57772,4.23,4.23,0.94,0.94,0.22,0.23,0.31,0.31,199,0.07,0.41,3.53,1.86,393.422,cm,2.56
INHS_FISH_27141,4.9,4.9,1.14,1.14,0.34,0.34,0.3,0.3,236,0.06,0.56,177.96,-1.66,395.15,cm,-2.31
INHS_FISH_88046,4.29,4.31,1.03,1.04,0.29,0.29,0.28,0.28,204,0.06,0.46,4.8,5.27,393.97,cm,4.12
INHS_FISH_60539,3.92,3.93,0.92,0.92,0.23,0.26,0.27,0.27,212,0.05,0.46,177.66,-2.79,391.892,cm,-3.07
INHS_FISH_51799,3.63,3.65,0.87,0.87,0.23,0.23,0.31,0.31,190,0.06,0.35,4.86,5.36,393.471,cm,5.02
INHS_FISH_99198,5.5,5.5,1.26,1.26,0.31,0.33,0.33,0.33,272,0.08,0.79,179.18,-0.98,393.997,cm,-0.9
INHS_FISH_88015,5.47,5.47,1.32,1.33,0.39,0.39,0.35,0.35,258,0.09,0.74,0.65,1.64,397.235,cm,0.73
INHS_FISH_100532,4.54,4.53,1.03,1.04,0.22,0.23,0.29,0.29,218,0.06,0.51,179.78,0.64,393.474,cm,-0.16
INHS_FISH_82778,4.65,4.66,1.05,1.06,0.3,0.3,0.32,0.32,225,0.07,0.51,4.34,4.27,395.146,cm,3.55
INHS_FISH_78613,5.06,5.06,1.3,1.3,0.33,0.35,0.4,0.39,264,0.1,0.73,2.19,1.67,392.807,cm,1.01
INHS_FISH_41686,4.89,4.96,1.06,1.07,0.33,0.34,0.34,0.34,231,0.09,0.51,10.65,10.16,396.2,cm,10.5
INHS_FISH_65498,5.1,5.11,1.24,1.24,0.39,0.4,0.34,0.34,268,0.08,0.7,2.95,3.13,394.804,cm,2.88
INHS_FISH_82514,6.69,6.7,1.56,1.56,0.41,0.43,0.48,0.48,301,0.16,1.01,177.02,-3.67,394.001,cm,-3.7
INHS_FISH_64170,4.09,4.09,1.04,1.05,0.34,0.35,0.27,0.27,210,0.06,0.48,1.71,2.2,395.5,cm,1.19
INHS_FISH_47012,5.49,5.49,1.14,1.14,0.3,0.33,0.35,0.35,257,0.08,0.65,2.08,1.29,397.509,cm,1.5
INHS_FISH_76758,4.35,4.34,1.09,1.1,0.3,0.3,0.31,0.31,225,0.07,0.52,0.3,0.4,393.827,cm,0.64
INHS_FISH_87969,3.97,4.0,1.03,1.05,0.29,0.29,0.28,0.28,198,0.06,0.43,7.48,7.68,394.591,cm,6.86
INHS_FISH_79123,5.85,5.87,1.39,1.41,0.41,0.41,0.43,0.42,301,0.12,0.9,4.6,4.61,398.484,cm,4.35
INHS_FISH_40481,4.23,4.23,0.91,0.91,0.21,0.24,0.29,0.29,215,0.06,0.45,1.25,0.48,394.299,cm,0.78
INHS_FISH_48601,5.53,5.53,1.41,1.41,0.37,0.41,0.39,0.38,299,0.11,0.93,178.04,-1.8,391.058,cm,-2.33
INHS_FISH_11858,4.71,4.74,1.17,1.18,0.35,0.35,0.36,0.36,258,0.09,0.61,6.8,6.86,395.61,cm,7.13
INHS_FISH_39488,5.66,5.66,1.41,1.41,0.45,0.45,0.41,0.41,284,0.13,0.81,3.58,2.57,393.874,cm,3.14
INHS_FISH_43025,2.87,2.88,0.66,0.65,0.15,0.16,0.21,0.21,139,0.03,0.19,175.28,-5.78,392.421,cm,-5.77
INHS_FISH_88063,3.99,3.99,0.83,0.83,0.16,0.2,0.29,0.28,178,0.06,0.35,0.72,-0.84,394.083,cm,0.01
INHS_FISH_48618,4.64,4.65,1.15,1.14,0.3,0.31,0.33,0.33,220,0.07,0.53,175.11,-4.72,394.542,cm,-4.62
INHS_FISH_102135,2.51,2.51,0.6,0.6,0.11,0.11,0.19,0.18,126,0.03,0.17,178.61,-0.93,393.805,cm,-1.49
INHS_FISH_48404,4.12,4.11,1.05,1.05,0.28,0.28,0.31,0.31,222,0.07,0.5,179.0,-0.93,390.954,cm,-2.08
