,SL_bbox,SL_lm,HL_bbox,HL_lm,pOD_bbox,pOD_lm,ED_bbox,ED_lm,HH_lm,EA_m,HA_m,FA_pca,FA_lm,scale,unit,FA_pca_meta
INHS_FISH_33330,6.06,6.06,1.34,1.35,0.35,0.35,0.38,0.37,268,0.1,0.8,1.05,2.0,396.695,cm,0.85
INHS_FISH_73688,3.7,3.7,0.9,0.91,0.22,0.22,0.3,0.29,189,0.06,0.38,2.45,3.62,393.372,cm,3.18
INHS_FISH_41757,3.38,3.38,0.88,0.88,0.24,0.24,0.28,0.28,172,0.05,0.32,3.38,2.27,395.824,cm,1.97
INHS_FISH_64217,4.17,4.16,0.98,0.98,0.23,0.25,0.31,0.31,221,0.06,0.5,179.77,0.14,391.983,cm,-0.88
INHS_FISH_48641,5.32,5.32,1.14,1.14,0.26,0.28,0.38,0.38,244,0.1,0.61,2.12,0.38,392.061,cm,0.62
INHS_FISH_57777,2.62,2.66,0.64,0.64,0.15,0.15,0.19,0.19,131,0.03,0.19,13.65,10.59,392.5,cm,12.43
INHS_FISH_89013,3.45,3.45,0.8,0.8,0.21,0.23,0.27,0.27,172,0.05,0.3,3.21,0.42,392.685,cm,0.69
INHS_FISH_57916,3.84,3.84,0.84,0.84,0.21,0.22,0.24,0.23,181,0.04,0.33,4.24,2.12,393.46,cm,4.54
INHS_FISH_87192,6.49,6.49,1.4,1.42,0.38,0.39,0.37,0.36,282,0.1,0.87,0.58,1.88,395.148,cm,0.76
INHS_FISH_77965,3.99,4.03,0.93,0.93,0.23,0.25,0.29,0.29,189,0.07,0.38,173.06,-7.52,375.552,cm,-8.14
INHS_FISH_109190,5.96,5.97,1.37,1.37,0.38,0.4,0.35,0.35,266,0.09,0.83,3.25,2.85,377.636,cm,3.25
INHS_FISH_92501,5.13,5.13,1.14,1.13,0.31,0.34,0.33,0.32,248,0.08,0.63,179.57,-1.13,394.18,cm,-0.57
INHS_FISH_59596,5.92,5.93,1.22,1.22,0.27,0.34,0.35,0.35,270,0.09,0.75,177.77,-3.82,392.428,cm,-2.75
INHS_FISH_98264,4.36,4.36,0.94,0.94,0.19,0.21,0.23,0.23,209,0.03,0.47,0.41,-0.4,393.144,cm,0.07
INHS_FISH_57044,3.79,3.79,1.0,1.0,0.3,0.33,0.28,0.28,212,0.06,0.48,2.96,1.68,394.571,cm,2.62
INHS_FISH_79899,5.09,5.1,1.27,1.27,0.3,0.32,0.37,0.37,278,0.1,0.78,175.01,-4.76,391.911,cm,-5.41
INHS_FISH_49736,10.15,10.16,2.18,2.17,0.64,0.7,0.62,0.62,366,0.24,2.0,177.96,-2.15,329.983,cm,-2.49
INHS_FISH_82429,3.75,3.75,0.83,0.83,0.19,0.21,0.26,0.26,179,0.05,0.33,177.89,-3.49,393.447,cm,-3.15
INHS_FISH_92249,4.15,4.27,1.02,1.05,0.28,0.3,0.36,0.36,214,0.1,0.46,13.82,13.8,392.203,cm,13.93
INHS_FISH_51451,4.64,4.65,1.22,1.22,0.38,0.39,0.35,0.34,271,0.09,0.68,4.29,3.52,392.646,cm,4.59
INHS_FISH_36532,3.74,3.75,0.9,0.9,0.22,0.28,0.24,0.24,198,0.04,0.4,178.16,-4.35,393.367,cm,-2.82
INHS_FISH_57788,4.71,4.71,1.21,1.21,0.33,0.35,0.36,0.35,249,0.09,0.61,1.79,0.74,393.652,cm,1.85
INHS_FISH_56360,3.7,3.7,1.03,1.03,0.28,0.29,0.33,0.33,226,0.08,0.47,178.43,-2.27,395.198,cm,-2.33
INHS_FISH_82417,5.05,5.1,1.09,1.09,0.32,0.32,0.34,0.33,228,0.08,0.57,9.63,8.08,374.905,cm,8.77
INHS_FISH_57928,4.58,4.59,0.99,1.0,0.26,0.26,0.27,0.27,189,0.06,0.41,3.76,4.76,394.289,cm,4.0
INHS_FISH_57905,5.24,5.27,1.24,1.24,0.38,0.38,0.31,0.31,243,0.07,0.64,6.68,6.02,394.284,cm,6.63
INHS_FISH_7695,2.74,2.74,0.72,0.72,0.2,0.22,0.26,0.26,168,0.04,0.25,177.96,-3.49,395.357,cm,-3.24
INHS_FISH_57888,5.74,5.74,1.15,1.15,0.33,0.35,0.28,0.28,240,0.06,0.6,1.28,2.14,392.021,cm,1.38
INHS_FISH_65370,4.36,4.48,0.99,0.99,0.3,0.3,0.28,0.28,242,0.05,0.51,14.76,13.54,394.005,cm,14.35
INHS_FISH_84159,8.62,8.64,2.09,2.12,0.51,0.6,0.56,0.56,360,0.23,1.87,178.96,-4.08,344.793,cm,-0.89
INHS_FISH_97405,3.06,3.06,0.72,0.72,0.17,0.17,0.25,0.25,150,0.04,0.25,2.15,2.57,392.952,cm,4.22
INHS_FISH_82436,4.94,4.95,1.14,1.14,0.34,0.34,0.34,0.34,239,0.08,0.59,4.34,4.32,375.312,cm,3.94
INHS_FISH_60540,4.59,4.66,1.2,1.2,0.35,0.36,0.35,0.34,247,0.07,0.62,11.4,10.14,392.683,cm,10.92
INHS_FISH_41403,6.29,6.29,1.45,1.45,0.41,0.41,0.46,0.46,294,0.14,0.91,2.05,1.99,393.775,cm,1.59
INHS_FISH_62871,5.53,5.54,1.22,1.23,0.3,0.31,0.37,0.37,251,0.1,0.68,178.35,-2.31,393.616,cm,-2.01
INHS_FISH_68289,4.4,4.44,1.22,1.22,0.32,0.38,0.32,0.32,258,0.07,0.67,171.93,-7.59,392.569,cm,-6.98
INHS_FISH_82517,5.79,5.79,1.16,1.18,0.3,0.31,0.36,0.36,277,0.09,0.72,0.87,1.89,397.639,cm,1.09
INHS_FISH_7705,3.08,3.08,0.84,0.84,0.21,0.22,0.24,0.23,171,0.04,0.32,0.73,-0.94,395.741,cm,-0.2
INHS_FISH_17803,4.28,4.28,0.92,0.93,0.22,0.23,0.31,0.31,202,0.07,0.4,0.79,2.21,394.883,cm,1.06
INHS_FISH_45251,4.24,4.24,0.89,0.9,0.2,0.28,0.26,0.26,115,0.05,0.37,177.81,-3.97,395.248,cm,-2.82
INHS_FISH_59517,4.49,4.54,1.03,1.04,0.28,0.28,0.32,0.31,232,0.07,0.5,9.43,8.37,392.207,cm,9.18
INHS_FISH_76221,6.3,6.3,1.55,1.55,0.39,0.43,0.42,0.42,331,0.13,1.05,179.74,-1.51,396.264,cm,-0.68
INHS_FISH_62916,5.67,5.67,1.4,1.4,0.37,0.41,0.4,0.4,306,0.11,0.94,179.42,-1.03,393.828,cm,-0.96
INHS_FISH_109201,5.09,5.09,1.14,1.16,0.27,0.27,0.37,0.37,211,0.09,0.58,179.56,0.6,376.145,cm,-0.7
INHS_FISH_64823,4.17,4.19,1.08,1.08,0.34,0.34,0.32,0.32,242,0.07,0.55,7.12,5.36,393.577,cm,6.45
INHS_FISH_17758,3.62,3.62,0.81,0.81,0.2,0.21,0.24,0.24,179,0.05,0.32,177.07,-3.44,395.249,cm,-3.83
INHS_FISH_46547,4.3,4.32,1.02,1.01,0.28,0.29,0.35,0.34,235,0.08,0.5,6.79,6.16,392.463,cm,6.62
INHS_FISH_79202,5.77,5.78,1.25,1.25,0.35,0.35,0.33,0.32,252,0.08,0.69,175.29,-4.06,395.643,cm,-5.0
INHS_FISH_41708,4.22,4.22,1.0,1.0,0.3,0.3,0.3,0.29,208,0.06,0.44,3.53,2.82,395.378,cm,2.6
INHS_FISH_36527,4.8,4.8,1.23,1.23,0.32,0.35,0.36,0.36,263,0.09,0.71,2.61,1.68,391.361,cm,1.87
INHS_FISH_79253,5.06,5.07,1.03,1.03,0.3,0.3,0.31,0.31,225,0.07,0.53,6.07,4.1,374.638,cm,5.81
INHS_FISH_64599,3.78,3.78,0.86,0.85,0.2,0.24,0.25,0.25,180,0.04,0.35,0.78,-1.53,396.105,cm,0.67
INHS_FISH_53960,4.5,4.52,1.16,1.17,0.32,0.32,0.39,0.39,256,0.11,0.63,4.81,4.99,394.614,cm,5.15
INHS_FISH_88042,4.16,4.19,1.1,1.1,0.31,0.31,0.36,0.36,223,0.09,0.51,9.23,6.63,393.201,cm,7.78
INHS_FISH_78500,6.01,6.01,1.28,1.27,0.35,0.37,0.38,0.38,276,0.1,0.74,3.75,2.33,392.748,cm,2.34
INHS_FISH_62951,5.18,5.18,1.25,1.24,0.35,0.37,0.36,0.36,264,0.09,0.68,0.2,0.64,399.048,cm,-0.36
INHS_FISH_87318,3.84,3.91,1.02,1.02,0.32,0.33,0.29,0.28,217,0.05,0.49,13.01,11.08,394.152,cm,12.97
INHS_FISH_30800,8.44,8.44,1.9,1.9,0.58,0.59,0.53,0.53,339,0.19,1.46,2.97,2.23,359.799,cm,2.41
INHS_FISH_39054,4.21,4.21,1.03,1.03,0.28,0.29,0.33,0.32,211,0.08,0.48,179.33,-1.45,394.32,cm,-0.41
INHS_FISH_106924,4.03,4.03,0.96,0.96,0.22,0.23,0.33,0.32,205,0.07,0.43,178.88,-2.25,392.917,cm,-0.97
INHS_FISH_64341,4.58,4.58,1.03,1.03,0.28,0.32,0.29,0.29,129,0.06,0.45,4.68,3.75,393.507,cm,3.88
INHS_FISH_42960,3.03,3.05,0.75,0.75,0.22,0.22,0.25,0.25,157,0.04,0.24,8.98,7.24,392.45,cm,7.41
INHS_FISH_11806,3.82,3.82,0.88,0.87,0.25,0.25,0.28,0.28,190,0.06,0.36,0.88,1.49,393.861,cm,1.28
INHS_FISH_62293,3.85,3.86,0.97,0.97,0.19,0.2,0.31,0.3,188,0.07,0.4,175.19,-3.78,392.885,cm,-4.28
INHS_FISH_50068,5.55,5.56,1.37,1.37,0.39,0.4,0.44,0.44,281,0.15,0.79,3.86,2.73,392.461,cm,3.35
INHS_FISH_3504,4.21,4.23,0.94,0.96,0.24,0.24,0.3,0.3,211,0.07,0.46,5.24,5.35,395.626,cm,5.7
INHS_FISH_109176,5.2,5.21,1.17,1.17,0.31,0.34,0.35,0.35,227,0.09,0.6,177.63,-2.97,378.174,cm,-2.89
INHS_FISH_78733,3.22,3.22,0.78,0.78,0.21,0.22,0.25,0.25,167,0.05,0.28,3.55,1.9,393.532,cm,3.06
INHS_FISH_87433,4.3,4.32,1.05,1.05,0.34,0.34,0.27,0.27,214,0.05,0.48,6.8,5.66,393.924,cm,5.86
INHS_FISH_90142,4.71,4.73,1.09,1.09,0.31,0.31,0.33,0.33,232,0.08,0.57,5.87,5.45,391.837,cm,5.35
INHS_FISH_98618,4.12,4.12,1.08,1.08,0.27,0.29,0.3,0.3,209,0.06,0.5,179.26,-1.7,393.481,cm,-1.1
INHS_FISH_11869,4.08,4.12,0.94,0.95,0.28,0.28,0.33,0.32,215,0.08,0.43,9.11,7.87,393.85,cm,9.29
INHS_FISH_55761,5.67,5.79,1.22,1.24,0.36,0.36,0.37,0.36,257,0.1,0.67,12.14,11.87,390.464,cm,11.84
INHS_FISH_61757,4.61,4.6,1.03,1.04,0.31,0.31,0.3,0.3,227,0.06,0.52,179.85,-0.19,395.362,cm,-0.07
INHS_FISH_57605,5.17,5.17,1.02,1.01,0.23,0.26,0.31,0.3,230,0.07,0.55,179.03,-0.67,394.746,cm,-0.94
INHS_FISH_39053,4.73,4.74,1.06,1.06,0.31,0.31,0.31,0.31,218,0.07,0.51,3.02,2.46,392.854,cm,2.39
INHS_FISH_45637,4.43,4.43,1.1,1.1,0.29,0.3,0.32,0.32,210,0.07,0.48,178.01,-2.22,396.659,cm,-2.66
INHS_FISH_27043,2.87,2.9,0.71,0.72,0.17,0.17,0.22,0.21,149,0.03,0.23,9.04,7.97,393.262,cm,8.63
INHS_FISH_91775,2.53,2.53,0.63,0.62,0.15,0.15,0.21,0.2,132,0.03,0.19,179.71,-0.46,395.897,cm,-1.43
INHS_FISH_64474,3.62,3.64,0.87,0.88,0.24,0.24,0.26,0.26,172,0.05,0.32,8.99,7.2,394.367,cm,7.32
INHS_FISH_76296,5.36,5.36,1.31,1.3,0.34,0.35,0.41,0.41,267,0.12,0.75,1.97,1.63,392.866,cm,1.41
INHS_FISH_74801,5.26,5.26,1.22,1.22,0.37,0.37,0.36,0.36,249,0.09,0.62,3.82,2.67,392.028,cm,3.37
INHS_FISH_11891,4.11,4.11,0.91,0.91,0.23,0.25,0.31,0.31,206,0.07,0.42,3.83,2.12,393.958,cm,3.2
INHS_FISH_4498,2.78,2.79,0.73,0.73,0.18,0.18,0.26,0.26,158,0.04,0.24,8.91,6.33,395.871,cm,8.26
INHS_FISH_86981,4.28,4.28,1.02,1.03,0.27,0.27,0.32,0.31,217,0.07,0.48,2.79,3.07,392.936,cm,3.41
INHS_FISH_97387,4.66,4.66,1.14,1.14,0.3,0.31,0.38,0.38,257,0.1,0.62,1.09,1.06,395.619,cm,1.85
INHS_FISH_33382,6.78,6.79,1.72,1.73,0.5,0.5,0.51,0.51,298,0.2,1.14,2.84,3.19,360.569,cm,2.66
INHS_FISH_35010,5.71,5.73,1.29,1.29,0.39,0.41,0.33,0.33,269,0.08,0.74,6.77,5.32,391.462,cm,5.62
INHS_FISH_26980,2.69,2.7,0.62,0.63,0.14,0.14,0.19,0.19,137,0.03,0.19,6.69,6.41,395.06,cm,5.98
INHS_FISH_107309,2.85,2.85,0.75,0.77,0.2,0.21,0.22,0.21,155,0.03,0.26,0.47,1.79,392.973,cm,0.37
INHS_FISH_39448,3.58,3.58,0.84,0.83,0.19,0.21,0.29,0.29,173,0.06,0.31,178.34,-2.28,392.578,cm,-2.08
INHS_FISH_33196,2.71,2.75,0.74,0.74,0.23,0.25,0.22,0.21,164,0.03,0.23,8.96,8.95,393.379,cm,8.2
INHS_FISH_108252,3.04,3.04,0.74,0.74,0.2,0.2,0.25,0.25,165,0.04,0.26,3.88,3.44,394.532,cm,3.41
INHS_FISH_97610,3.75,3.75,0.78,0.78,0.17,0.19,0.21,0.21,175,0.04,0.31,1.94,0.81,394.359,cm,1.73
INHS_FISH_50104,3.65,3.74,1.0,1.0,0.3,0.3,0.29,0.29,213,0.06,0.44,14.85,12.48,396.228,cm,14.49
INHS_FISH_69105,3.33,3.33,0.86,0.86,0.21,0.22,0.28,0.28,171,0.06,0.31,3.98,0.26,392.86,cm,1.95
INHS_FISH_83392,3.53,3.53,0.86,0.87,0.22,0.22,0.27,0.27,164,0.05,0.29,1.46,0.66,392.604,cm,0.2
INHS_FISH_99151,5.12,5.12,1.31,1.31,0.35,0.35,0.34,0.34,284,0.09,0.81,0.07,0.23,393.805,cm,0.09
INHS_FISH_63771,5.53,5.53,1.25,1.26,0.31,0.32,0.39,0.39,263,0.1,0.68,0.04,-1.21,393.677,cm,-0.9
INHS_FISH_33014,4.82,4.82,1.21,1.21,0.31,0.34,0.35,0.35,251,0.09,0.63,178.83,-1.51,393.781,cm,-0.86
INHS_FISH_81124,3.87,3.87,0.92,0.92,0.21,0.22,0.3,0.3,188,0.06,0.37,0.86,-0.26,395.423,cm,0.62
INHS_FISH_45480,5.48,5.5,1.34,1.35,0.35,0.35,0.38,0.38,264,0.11,0.71,7.77,5.29,391.94,cm,5.69
INHS_FISH_97396,3.23,3.22,0.82,0.82,0.24,0.24,0.25,0.25,180,0.04,0.33,179.58,-1.62,395.887,cm,-0.91
INHS_FISH_41709,4.35,4.35,1.02,1.02,0.27,0.29,0.3,0.3,218,0.06,0.48,1.24,0.53,395.149,cm,0.92
INHS_FISH_87425,7.32,7.32,1.69,1.69,0.46,0.47,0.52,0.52,321,0.17,1.24,179.97,-0.51,366.552,cm,-0.41
INHS_FISH_22941,3.83,3.83,0.93,0.93,0.24,0.25,0.24,0.24,202,0.04,0.4,178.91,0.15,394.101,cm,-1.21
INHS_FISH_53966,4.48,4.48,1.04,1.04,0.3,0.31,0.3,0.3,212,0.06,0.46,3.48,3.15,394.515,cm,3.29
INHS_FISH_87361,4.99,4.99,1.08,1.08,0.25,0.29,0.32,0.32,228,0.07,0.56,177.35,-2.55,396.399,cm,-2.52
INHS_FISH_89026,4.62,4.64,1.13,1.13,0.32,0.32,0.35,0.35,235,0.08,0.56,175.17,-4.61,391.97,cm,-5.24
INHS_FISH_97727,3.15,3.15,0.72,0.72,0.17,0.18,0.24,0.24,159,0.04,0.26,3.55,2.81,395.872,cm,3.81
INHS_FISH_54290,4.06,4.06,1.05,1.05,0.27,0.28,0.35,0.35,216,0.08,0.5,2.93,3.13,396.925,cm,3.6
INHS_FISH_38725,5.67,5.67,1.27,1.26,0.32,0.34,0.34,0.34,179,0.07,0.72,179.37,1.1,377.695,cm,-0.33
INHS_FISH_109191,6.33,6.33,1.36,1.36,0.4,0.41,0.38,0.37,286,0.11,0.9,2.4,1.9,381.082,cm,1.79
INHS_FISH_99336,4.87,4.87,1.16,1.15,0.24,0.27,0.33,0.33,246,0.08,0.63,0.69,-1.31,393.68,cm,0.14
INHS_FISH_62644,3.91,3.91,0.89,0.89,0.22,0.23,0.24,0.24,188,0.04,0.37,179.53,-1.16,392.723,cm,-0.88
INHS_FISH_86923,6.4,6.4,1.49,1.49,0.44,0.48,0.39,0.39,294,0.1,0.97,177.9,-2.18,393.793,cm,-1.99
INHS_FISH_83027,5.74,5.74,1.36,1.36,0.37,0.38,0.39,0.38,269,0.09,0.79,1.79,1.62,394.022,cm,1.53
INHS_FISH_83350,4.28,4.28,1.03,1.04,0.28,0.28,0.33,0.33,219,0.08,0.49,1.98,2.04,393.489,cm,2.55
INHS_FISH_62645,4.61,4.61,1.06,1.06,0.29,0.3,0.32,0.32,227,0.08,0.49,2.11,1.07,393.291,cm,1.72
INHS_FISH_75526,4.61,4.6,1.21,1.21,0.35,0.37,0.34,0.34,233,0.08,0.61,0.15,0.19,393.584,cm,0.21
INHS_FISH_98910,4.99,5.0,1.29,1.28,0.36,0.36,0.35,0.35,288,0.09,0.78,5.5,4.08,396.072,cm,5.39
INHS_FISH_79145,4.27,4.27,0.97,0.97,0.24,0.24,0.3,0.3,200,0.06,0.43,3.13,2.93,394.288,cm,3.82
INHS_FISH_39078,3.86,3.86,0.86,0.86,0.2,0.21,0.3,0.29,184,0.06,0.36,4.23,2.68,393.169,cm,3.36
INHS_FISH_78184,4.39,4.39,1.02,1.02,0.27,0.28,0.33,0.33,222,0.08,0.49,178.81,-2.12,394.284,cm,-0.69
INHS_FISH_59447,4.39,4.56,1.12,1.14,0.33,0.33,0.34,0.34,250,0.09,0.59,17.35,15.47,396.422,cm,16.02
INHS_FISH_79398,5.83,5.88,1.41,1.41,0.46,0.46,0.41,0.4,266,0.12,0.82,8.48,7.85,369.971,cm,7.78
INHS_FISH_108622,2.43,2.43,0.61,0.62,0.13,0.14,0.21,0.21,125,0.03,0.17,178.71,-3.2,390.816,cm,-1.73
INHS_FISH_59003,5.98,5.98,1.37,1.37,0.37,0.37,0.44,0.44,283,0.12,0.83,177.88,-2.06,394.813,cm,-2.45
INHS_FISH_65537,4.7,4.7,1.03,1.03,0.27,0.28,0.3,0.29,220,0.06,0.52,179.13,-0.19,392.923,cm,-0.9
INHS_FISH_105978,4.75,4.75,1.27,1.28,0.35,0.35,0.34,0.34,264,0.09,0.73,0.48,0.4,393.186,cm,0.37
INHS_FISH_89615,3.72,3.72,0.99,0.99,0.19,0.19,0.3,0.3,190,0.06,0.39,178.17,-0.31,395.42,cm,-1.06
