"","original_file_name","id.x","file_name","catalog_id","dataset","path","scientific_name.x","genus.x","family.x","institution","width","height","size","id.y","image_metadata_id","user_id","fish_number","has_ruler","has_label","labelname_matched_imagefilename","barcode_visible","label_detailed","has_colorbar","has_label_attached_fish","non_specimen_objects","if_overlapping","specimen_angled","specimen_viewing","straight_curved","if_missing_parts","if_parts_visible","fins_folded_oddly","brightness","if_background_uniform","if_focus","color_issues","image_quality","scientific_name.y","genus.y","family.y"
"547","INHS_FISH_106489.jpg",143851,"INHS_143851.JPG",106489,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106489.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11060908,"70b08f6d-ce36-5978-b18d-91c9ab631b79","858cb728-030c-477b-aa2b-b45909827b98",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",4,"Notropis texanus","Notropis ","Cyprinidae"
"585","INHS_FISH_106924.jpg",143983,"INHS_143983.JPG",106924,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106924.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10812765,"3921a56e-4380-5721-953e-3a8998cc2e82","239113ba-3ef7-469f-b814-ce10f4225c38",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",7,"Notropis volucellus","Notropis ","Cyprinidae"
"610","INHS_FISH_107279.jpg",144080,"INHS_144080.JPG",107279,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107279.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11259990,"b0121e85-7f0c-561b-b237-8a7b00f3b6b3","85675630-bf6f-4422-990c-843a607fdec0",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"614","INHS_FISH_107309.jpg",144087,"INHS_144087.JPG",107309,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107309.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10727421,"5ff8b242-3b71-5e9f-9e9f-239e9be4f244","1a2f3296-2895-439c-b777-71c9203139a6",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis texanus","Notropis ","Cyprinidae"
"635","INHS_FISH_107460.jpg",144151,"INHS_144151.JPG",107460,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107460.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10958605,"8506b23d-a30c-5cff-908a-bbd44e7467e3","5dddddaf-8115-425b-9ab3-4640a83b1a0d",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"640","INHS_FISH_107479.jpg",144160,"INHS_144160.JPG",107479,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107479.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10158372,"38fcb1ce-9557-5789-bcdb-936265e67d5b","617f5584-25d0-4ae0-aad2-cbc9952ce954",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",5,"Notropis volucellus","Notropis ","Cyprinidae"
"643","INHS_FISH_107493.jpg",144166,"INHS_144166.JPG",107493,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107493.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10347865,"ce155fb3-726a-58f9-8455-fd34da0ecfc8","dea59382-0cc1-4330-baee-721a1ac43a16",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",7,"Notropis volucellus","Notropis ","Cyprinidae"
"652","INHS_FISH_107530.jpg",144183,"INHS_144183.JPG",107530,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107530.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10790570,"23311789-2173-5394-9328-3bff896e3bda","d0994ff3-9b97-490d-8d90-784182fc3a68",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",6,"Notropis volucellus","Notropis ","Cyprinidae"
"655","INHS_FISH_107535.jpg",144188,"INHS_144188.JPG",107535,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107535.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10706171,"7c9b4c09-3e89-57ea-8fbd-7a6860700c52","65f192d6-fa58-448c-baac-b48c3187e0f3",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",7,"Notropis volucellus","Notropis ","Cyprinidae"
"668","INHS_FISH_107593.jpg",144214,"INHS_144214.JPG",107593,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107593.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10191970,"7576cd34-2a6e-5348-952c-3145069e6644","1e763f97-d164-47ad-a4f6-a453150ee1e4",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",4,"Notropis volucellus","Notropis ","Cyprinidae"
"674","INHS_FISH_107609.jpg",144222,"INHS_144222.JPG",107609,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107609.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10326067,"e75ea19a-d631-5366-ba49-8cd5df0a90eb","00d71387-0179-46ec-87a7-20969254dd39",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",7,"Notropis volucellus","Notropis ","Cyprinidae"
"676","INHS_FISH_107612.jpg",144225,"INHS_144225.JPG",107612,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107612.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,9183959,"2e8fb02c-2b29-586c-b529-cb8183db494d","76809475-b2be-41c4-a4cc-6fbe49edb118",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"680","INHS_FISH_107665.jpg",144238,"INHS_144238.JPG",107665,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107665.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10212929,"410e161a-b57b-5f23-abba-30dbbe706cb4","64ceed12-f061-45d6-9420-c09ab20b5328",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",5,"Notropis volucellus","Notropis ","Cyprinidae"
"689","INHS_FISH_107723.jpg",144263,"INHS_144263.JPG",107723,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107723.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10191789,"46aa45dc-b317-588c-a705-f25255f4f0b8","84e317f4-c706-450e-b23f-09b3199b37ab",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"706","INHS_FISH_107782.jpg",144285,"INHS_144285.JPG",107782,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107782.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10281044,"00083589-1d8a-5d1f-b1be-f30471a23be1","9b24959d-485f-420a-9336-f6ec4c0989e0",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"715","INHS_FISH_107855.jpg",144310,"INHS_144310.JPG",107855,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107855.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10468932,"cbf9a474-1810-55f9-b294-97741b5bbc6b","1ed4837b-691f-4a65-8b5e-1374e0e59089",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"724","INHS_FISH_107909.jpg",144328,"INHS_144328.JPG",107909,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107909.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10484042,"b80355e2-47fd-533a-8c0d-069381c38535","3c164f56-fd77-4e85-9390-07aafa3d7bb7",15,1,"True","True","True","False","detailed","False","False","no","False",10,"left","straight","False","True","False","normal","False","True","none",7,"Notropis volucellus","Notropis ","Cyprinidae"
"729","INHS_FISH_108021.jpg",144360,"INHS_144360.JPG",108021,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108021.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11130769,"7489313c-10dc-5459-bd9b-0d64824dbe0c","6858db2d-623e-44e2-8600-37883db94be0",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",7,"Notropis volucellus","Notropis ","Cyprinidae"
"752","INHS_FISH_108252.jpg",144421,"INHS_144421.JPG",108252,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_108252.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,9813481,"b0c5fb01-169f-5a01-9f6c-5c92802b8287","38b9e704-59d1-4c18-8d2a-cdeb966123d4",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",5,"Notropis volucellus","Notropis ","Cyprinidae"
