"original_file_name","id","file_name","catalog_id","dataset","path","scientific_name","genus","family","institution","width","height","size","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta","file.name","X.none.","X.none..1"
"INHS_FISH_100201",142213,"INHS_142213.JPG","100201","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_100201.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11558551,1839,1838.6,458,459.11,115,116.4,117,116,224,10182,91056,2.4,1.46,394.287,"cm",2.89,"INHS_FISH_100201",NA,NA
"INHS_FISH_100532",142304,"INHS_142304.JPG","100532","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_100532.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10742190,1785,1784.11,406,408.58,88,90.71,115,114,218,9297,79606,179.78,0.64,393.474,"cm",-0.16,"INHS_FISH_100532",NA,NA
"INHS_FISH_102135",142739,"INHS_142739.JPG","102135","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102135.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11249078,988,987.13,235,236.04,43,43.05,73,72.17,126,3901,26545,178.61,-0.93,393.805,"cm",-1.49,"INHS_FISH_102135",NA,NA
"INHS_FISH_102621",142853,"INHS_142853.JPG","102621","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102621.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10272381,1318,1331.65,339,339.61,87,87,115,114,195,9114,56302,13.35,8.51,393.897,"cm",12.29,"INHS_FISH_102621",NA,NA
"INHS_FISH_102957",142937,"INHS_142937.JPG","102957","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102957.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11210485,1860,1877.65,409,413.46,109,109.02,133,132.02,223,12197,79911,7.7,8.08,391.925,"cm",7.56,"INHS_FISH_102957",NA,NA
"INHS_FISH_102958",142938,"INHS_142938.JPG","102958","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102958.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10858240,1326,1325,349,349.38,94,109.42,105,104,183,7112,55567,1.42,0.09,392.894,"cm",1.07,"INHS_FISH_102958",NA,NA
"INHS_FISH_103091",142966,"INHS_142966.JPG","103091","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_103091.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11591075,1927,1926.08,496,497.83,132,133.82,148,148.1,256,16239,105786,179.54,-0.54,393.963,"cm",-0.62,"INHS_FISH_103091",NA,NA
"INHS_FISH_104263",143294,"INHS_143294.JPG","104263","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_104263.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10951668,1595,1594.41,431,430.07,120,122.78,123,122.07,215,9146,73878,179.6,-1.29,394.607,"cm",-0.15,"INHS_FISH_104263",NA,NA
"INHS_FISH_105892",143712,"INHS_143712.JPG","105892","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_105892.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10992422,1604,1603.01,391,390.08,99,100.45,120,119,198,9616,67161,179.53,-0.21,394.407,"cm",-0.57,"INHS_FISH_105892",NA,NA
"INHS_FISH_105978",143736,"INHS_143736.JPG","105978","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_105978.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11246448,1869,1868.05,501,501.37,138,138.29,135,134.18,264,13788,112640,0.48,0.4,393.186,"cm",0.37,"INHS_FISH_105978",NA,NA
"INHS_FISH_106211",143783,"INHS_143783.JPG","106211","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106211.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10778766,1803,1802.69,388,388.01,76,80.01,111,110.22,219,9558,79018,178.78,-1.59,392.953,"cm",-1.36,"INHS_FISH_106211",NA,NA
"INHS_FISH_106370",143815,"INHS_143815.JPG","106370","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106370.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10177568,1509,1508.02,343,345.49,72,72.01,101,100.08,180,7581,55533,179.99,0.27,393.611,"cm",-0.27,"INHS_FISH_106370",NA,NA
"INHS_FISH_106489",143851,"INHS_143851.JPG","106489","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106489.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11060908,1576,1575.06,387,387.49,93,93.54,121,120.07,204,9841,66810,178.16,-0.51,393.472,"cm",-1.51,"INHS_FISH_106489",NA,NA
"INHS_FISH_106924",143983,"INHS_143983.JPG","106924","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106924.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10812765,1582,1582.22,378,377.13,87,90.25,128,127.57,205,10847,66018,178.88,-2.25,392.917,"cm",-0.97,"INHS_FISH_106924",NA,NA
