"","original_file_name","id.x","file_name","catalog_id","dataset","path","scientific_name.x","genus.x","family.x","institution","width","height","size","id.y","image_metadata_id","user_id","fish_number","has_ruler","has_label","labelname_matched_imagefilename","barcode_visible","label_detailed","has_colorbar","has_label_attached_fish","non_specimen_objects","if_overlapping","specimen_angled","specimen_viewing","straight_curved","if_missing_parts","if_parts_visible","fins_folded_oddly","brightness","if_background_uniform","if_focus","color_issues","image_quality","scientific_name.y","genus.y","family.y"
"1185","INHS_FISH_005219.jpg",122866,"INHS_122866.JPG","5219","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_005219.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7327514,"b8377093-45cc-5dda-8ef0-c1e3c292713e","5c631cd4-17ac-4768-9aa0-ef9b81b2946c",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",5,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1189","INHS_FISH_006548.jpg",123185,"INHS_123185.JPG","6548","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_006548.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,5475415,"bb293e2a-1b47-57a6-9aaa-152d24f28d7b","7e1aaf50-e018-44a8-820f-e21fe5dda77f",16,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",9,"Carassius auratus","Carassius ","Cyprinidae"
"1190","INHS_FISH_006709.jpg",123225,"INHS_123225.JPG","6709","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_006709.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,6750015,"cb8ec2d2-2ea2-5c10-9c6a-8ef2cd3a3971","df342069-b53b-4ed6-b92d-1982a716e64c",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",7,"Carassius auratus","Carassius ","Cyprinidae"
"1191","INHS_FISH_007358.jpg",123399,"INHS_123399.JPG","7358","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_007358.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,6567404,"c4579bb1-1430-54a6-a2c3-091c673b3c9f","3e39e07f-3d94-4ea0-a8cc-56910c3d7106",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1192","INHS_FISH_007409.jpg",123409,"INHS_123409.JPG","7409","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_007409.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7578600,"a9a4ba8b-1680-5a3c-900e-166ddc6a1182","339ac397-a9f7-4997-b7b2-e8470aa1de15",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1194","INHS_FISH_007587.jpg",123458,"INHS_123458.JPG","7587","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_007587.jpg","Notropis buccatus","Notropis ","Cyprinidae","INHS",6016,4016,9938603,"420a3dbd-dfda-5e52-a739-07bcf8d797a3","7013ff02-980e-4a27-9ff0-966e2d3cbeef",16,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",7,"Notropis buccatus","Notropis ","Cyprinidae"
"1197","INHS_FISH_007880.jpg",123535,"INHS_123535.JPG","7880","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_007880.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7055865,"f8ca2c63-f4d3-58ff-a018-b5cdedc23834","23a575be-8926-4e48-ae57-eb962e09a5e6",15,1,"True","True","True","False","detailed","False","False","clear disk","False",9,"left","straight","False","True","False","normal","True","True","none",10,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1199","INHS_FISH_008363.jpg",123639,"INHS_123639.JPG","8363","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_008363.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,6457352,"4027e95f-3958-54b6-b4f1-ebdc3aa0719e","0118ee64-6016-4652-8b8a-40c7dcc803b8",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1200","INHS_FISH_011196.jpg",124334,"INHS_124334.JPG","11196","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_011196.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,5960780,"34873531-3c32-5124-a675-9ff75a324367","5a5ddf82-5483-4855-b0c5-642feeb9cdc1",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",9,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1202","INHS_FISH_011392.jpg",124384,"INHS_124384.JPG","11392","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_011392.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,8166350,"c6d46e39-95c3-52d6-82a3-d2bb35b64682","dfe78afc-1565-4e6e-a87f-ec5663f40569",16,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Cyprinus carpio","Cyprinus ","Cyprinidae"
